id,name,latitude,longitude,dep_count,dep_mean,dep_min,dep_max,dep_median,arr_count,arr_mean,arr_min,arr_max,arr_median,statusValue,totalDocks
3157,East End Ave & E 86 St,40.77518615,-73.94446054,1791,1302.47236181,63,18451,1091.0,1767,1251.47085456,63,20857,980.0,In Service,47
3158,W 63 St & Broadway,40.77163851,-73.98261428,11013,1018.21565423,65,20892,718.0,9912,981.595742534,65,21495,701.0,In Service,31
3159,W 67 St & Broadway,40.77492513,-73.98266566,10122,899.900118554,63,20026,665.0,9699,905.158263739,63,21062,669.0,In Service,31
3160,Central Park West & W 76 St,40.77896784,-73.97374737,6954,1704.07247627,60,19969,1173.5,6281,1877.96465531,60,21435,1327.0,In Service,39
3161,W 76 St & Columbus Ave,40.7801839724,-73.9772853255,3893,962.989211405,64,13970,750.0,3641,954.530348805,64,19963,753.0,In Service,59
3162,W 78 St & Broadway,40.78339981,-73.98093133,3653,1051.78291815,64,18981,841.0,3516,1104.87656428,64,19900,879.0,In Service,39
3163,Central Park West & W 68 St,40.7734066,-73.97782542,7609,1434.93481404,62,20969,944.0,6694,1455.67687481,62,18110,996.0,In Service,43
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,11464,1044.1388695,61,21582,739.0,10019,1051.52939415,61,20966,722.0,In Service,67
3165,Central Park West & W 72 St,40.77575319,-73.97603963,11754,1711.48893994,60,21569,1203.0,11402,1886.27205753,60,21373,1423.0,In Service,51
3166,Riverside Dr & W 72 St ,40.7805779901,-73.9856243134,4827,1222.91133209,61,21493,1076.0,4804,1246.42464613,61,20708,1083.0,In Service,41
3167,Amsterdam Ave & W 73 St,40.7796680901,-73.9809304476,8119,885.591205814,60,21159,675.0,7735,874.205042017,60,21078,669.0,In Service,55
3168,Central Park West & W 85 St,40.78472675,-73.96961715,8842,1508.64521601,61,21483,1088.0,8796,1839.76170987,61,21494,1533.0,In Service,31
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,6625,1530.57524528,60,21292,1380.0,6205,1632.76406124,60,20006,1474.0,In Service,59
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,9219,1186.59106194,60,20529,907.0,7948,1436.83744338,60,20922,1071.0,In Service,35
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3706,1092.03939557,65,20220,878.0,3671,984.58267502,64,19483,772.0,In Service,39
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,5974,1037.39537998,62,21185,749.0,5237,1061.31850296,61,16019,789.0,In Service,27
3173,Riverside Blvd & W 67 St,40.7775070275,-73.9888858795,4356,1101.19903581,65,17874,933.0,4382,1056.66339571,65,17125,870.0,In Service,63
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,9234,913.129088152,60,20484,679.5,8602,988.65031388,60,20432,731.5,In Service,31
3176,W 64 St & West End Ave,40.77452835,-73.98753759,6446,1020.06546696,62,21548,839.0,6052,969.829147389,62,16572,775.0,In Service,43
3177,W 84 St & Broadway,40.7867947,-73.977112,10154,1270.55337798,62,19909,1072.0,9908,1295.32700848,62,20250,1096.0,In Service,63
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,5260,1444.02281369,62,20050,1251.5,4701,1517.46649649,62,18710,1325.0,In Service,59
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,515,767.669902913,106,5020,510.0,578,873.034602076,85,12132,563.5,In Service,23
3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,3315,1575.61568627,65,20602,1238.0,3086,1670.84964355,65,21111,1369.5,In Service,31
3181,Soissons Landing,40.692609,-74.016398,2369,2394.66019417,64,19880,1571.0,2396,2373.1427379,64,19880,1613.0,In Service,34
3182,Yankee Ferry Terminal,40.686931,-74.016966,2148,2046.69459963,61,16865,1556.0,2142,2010.42016807,61,14805,1519.5,In Service,34
3221,47 Ave & 31 St,40.743,-73.93561,628,1058.25318471,64,12487,803.0,707,1062.90381895,64,13853,780.0,In Service,27
3222,Hanson Pl & St Felix St,40.6851595999,-73.9771136642,6734,673.950697951,61,21444,464.0,6991,759.088113289,60,19677,495.0,In Service,39
3223,E 55 St & 3 Ave,40.7589965596,-73.9686539769,8668,874.137632672,61,17471,723.0,8753,848.835256483,61,20011,720.0,In Service,55
3224,W 13 St & Hudson St,40.739973541,-74.005138725,12709,867.800220316,60,20245,662.0,13623,785.692725538,60,20792,612.0,In Service,39
3226,W 82 St & Central Park West,40.78275,-73.97137,3772,1219.29612937,62,20894,896.0,3601,1352.39877812,62,19799,991.0,In Service,45
3229,Marcy Ave & MacDonough St,40.6806176846,-73.946249485,521,915.201535509,84,8301,665.0,460,873.92173913,86,7957,632.5,In Service,34
3230,Penn Station Valet,40.751283597,-73.9969244599,16448,811.18464251,61,20993,724.0,9161,790.009605938,61,21593,688.0,Not In Service,7
3231,E 67 St & Park Ave,40.7678008015,-73.9659208059,6410,983.748517941,64,21474,765.0,6029,925.732625643,64,16687,722.0,In Service,59
3232,Bond St & Fulton St,40.6896218879,-73.9830426872,1019,975.168792934,62,21160,581.0,1031,932.973811833,62,14421,599.0,In Service,31
3233,E 48 St & 5 Ave,40.7572456791,-73.9780591428,7725,762.189255663,61,21483,579.0,7715,762.2022035,61,20768,568.0,In Service,39
3234,E 40 St & Madison Ave,40.7515936845,-73.9804315567,6844,727.746347165,61,17805,555.0,6796,799.36241907,61,21483,624.0,In Service,34
3235,E 41 St & Madison Ave,40.7521652806,-73.979921937,5800,722.330517241,61,19496,541.0,5808,769.184573003,61,20677,594.5,In Service,31
3236,PABT Valet,40.758984814,-73.9937996864,4433,746.530340627,63,10470,640.0,1835,830.274114441,63,18241,694.0,In Service,33
3237,21 St & 41 Ave,40.7538334344,-73.9426767826,256,1158.35546875,103,10277,959.0,227,1529.0,101,20870,1306.0,In Service,25
3238,E 80 St & 2 Ave,40.7739139024,-73.9543953538,473,906.906976744,66,21089,747.0,458,884.358078603,66,4877,740.0,In Service,37
3241,Monroe St & Tompkins Ave,40.686203,-73.944694,13,770.153846154,200,2069,331.0,9,654.777777778,255,1546,454.0,In Service,19
3242,Schermerhorn St & Court St,40.6910292568,-73.9918336272,15,583.066666667,197,1483,395.0,23,820.565217391,262,2957,643.0,In Service,39
