,date,357
0,2015-01-01,7
1,2015-01-02,33
2,2015-01-03,11
3,2015-01-04,29
4,2015-01-05,51
5,2015-01-06,21
6,2015-01-07,31
7,2015-01-08,28
8,2015-01-09,19
9,2015-01-10,15
10,2015-01-11,13
11,2015-01-12,16
12,2015-01-13,33
13,2015-01-14,39
14,2015-01-15,45
15,2015-01-16,46
16,2015-01-17,24
17,2015-01-18,6
18,2015-01-19,38
19,2015-01-20,50
20,2015-01-21,48
21,2015-01-22,49
22,2015-01-23,57
23,2015-01-24,22
24,2015-01-25,27
25,2015-01-26,9
26,2015-01-27,3
27,2015-01-28,15
28,2015-01-29,29
29,2015-01-30,33
30,2015-01-31,18
31,2015-02-01,17
32,2015-02-02,3
33,2015-02-03,13
34,2015-02-04,27
35,2015-02-05,26
36,2015-02-06,17
37,2015-02-07,12
38,2015-02-08,18
39,2015-02-09,22
40,2015-02-10,25
41,2015-02-11,29
42,2015-02-12,27
43,2015-02-13,17
44,2015-02-14,19
45,2015-02-15,8
46,2015-02-16,13
47,2015-02-17,11
48,2015-02-18,27
49,2015-02-19,24
50,2015-02-20,15
51,2015-02-21,8
52,2015-02-22,10
53,2015-02-23,19
54,2015-02-24,20
55,2015-02-25,26
56,2015-02-26,34
57,2015-02-27,28
58,2015-02-28,17
59,2015-03-01,8
60,2015-03-02,19
61,2015-03-03,11
62,2015-03-04,14
63,2015-03-05,1
64,2015-03-06,10
65,2015-03-07,9
66,2015-03-08,12
67,2015-03-09,46
68,2015-03-10,32
69,2015-03-11,72
70,2015-03-12,51
71,2015-03-13,48
72,2015-03-14,6
73,2015-03-15,19
74,2015-03-16,50
75,2015-03-17,43
76,2015-03-18,41
77,2015-03-19,44
78,2015-03-20,19
79,2015-03-21,21
80,2015-03-22,31
81,2015-03-23,38
82,2015-03-24,31
83,2015-03-25,50
84,2015-03-26,53
85,2015-03-27,40
86,2015-03-28,6
87,2015-03-29,20
88,2015-03-30,52
89,2015-03-31,44
90,2015-04-01,48
91,2015-04-02,70
92,2015-04-03,39
93,2015-04-04,52
94,2015-04-05,33
95,2015-04-06,80
96,2015-04-07,48
97,2015-04-08,60
98,2015-04-09,59
99,2015-04-10,51
100,2015-04-11,48
101,2015-04-12,49
102,2015-04-13,61
103,2015-04-14,75
104,2015-04-15,92
105,2015-04-16,76
106,2015-04-17,58
107,2015-04-18,44
108,2015-04-19,48
109,2015-04-20,22
110,2015-04-21,87
111,2015-04-22,61
112,2015-04-23,90
113,2015-04-24,74
114,2015-04-25,39
115,2015-04-26,51
116,2015-04-27,86
117,2015-04-28,88
118,2015-04-29,79
119,2015-04-30,89
120,2015-05-01,71
121,2015-05-02,77
122,2015-05-03,67
123,2015-05-04,79
124,2015-05-05,100
125,2015-05-06,104
126,2015-05-07,113
127,2015-05-08,102
128,2015-05-09,44
129,2015-05-10,50
130,2015-05-11,91
131,2015-05-12,93
132,2015-05-13,89
133,2015-05-14,96
134,2015-05-15,84
135,2015-05-16,56
136,2015-05-17,65
137,2015-05-18,81
138,2015-05-19,94
139,2015-05-20,103
140,2015-05-21,106
141,2015-05-22,66
142,2015-05-23,35
143,2015-05-24,42
144,2015-05-25,40
145,2015-05-26,105
146,2015-05-27,103
147,2015-05-28,89
148,2015-05-29,83
149,2015-05-30,53
150,2015-05-31,40
151,2015-06-01,51
152,2015-06-02,44
153,2015-06-03,106
154,2015-06-04,110
155,2015-06-05,76
156,2015-06-06,66
157,2015-06-07,76
158,2015-06-08,104
159,2015-06-09,111
160,2015-06-10,148
161,2015-06-11,111
162,2015-06-12,119
163,2015-06-13,61
164,2015-06-14,54
165,2015-06-15,92
166,2015-06-16,104
167,2015-06-17,113
168,2015-06-18,120
169,2015-06-19,108
170,2015-06-20,42
171,2015-06-21,44
172,2015-06-22,125
173,2015-06-23,115
174,2015-06-24,126
175,2015-06-25,131
176,2015-06-26,99
177,2015-06-27,31
178,2015-06-28,73
