,date,396
0,2015-01-01,5
1,2015-01-02,4
2,2015-01-03,3
3,2015-01-04,6
4,2015-01-05,9
5,2015-01-06,3
6,2015-01-07,0
7,2015-01-08,2
8,2015-01-09,0
9,2015-01-10,5
10,2015-01-11,3
11,2015-01-12,7
12,2015-01-13,8
13,2015-01-14,1
14,2015-01-15,5
15,2015-01-16,11
16,2015-01-17,10
17,2015-01-18,0
18,2015-01-19,9
19,2015-01-20,14
20,2015-01-21,10
21,2015-01-22,11
22,2015-01-23,4
23,2015-01-24,3
24,2015-01-25,9
25,2015-01-26,2
26,2015-01-27,0
27,2015-01-28,1
28,2015-01-29,3
29,2015-01-30,1
30,2015-01-31,2
31,2015-02-01,7
32,2015-02-02,0
33,2015-02-03,5
34,2015-02-04,2
35,2015-02-05,5
36,2015-02-06,5
37,2015-02-07,5
38,2015-02-08,4
39,2015-02-09,1
40,2015-02-10,6
41,2015-02-11,7
42,2015-02-12,7
43,2015-02-13,3
44,2015-02-14,1
45,2015-02-15,2
46,2015-02-16,2
47,2015-02-17,1
48,2015-02-18,3
49,2015-02-19,6
50,2015-02-20,2
51,2015-02-21,2
52,2015-02-22,5
53,2015-02-23,4
54,2015-02-24,3
55,2015-02-25,3
56,2015-02-26,5
57,2015-02-27,7
58,2015-02-28,14
59,2015-03-01,2
60,2015-03-02,3
61,2015-03-03,3
62,2015-03-04,2
63,2015-03-05,1
64,2015-03-06,4
65,2015-03-07,2
66,2015-03-08,4
67,2015-03-09,9
68,2015-03-10,6
69,2015-03-11,8
70,2015-03-12,11
71,2015-03-13,16
72,2015-03-14,3
73,2015-03-15,9
74,2015-03-16,9
75,2015-03-17,5
76,2015-03-18,10
77,2015-03-19,7
78,2015-03-20,5
79,2015-03-21,5
80,2015-03-22,6
81,2015-03-23,5
82,2015-03-24,8
83,2015-03-25,8
84,2015-03-26,5
85,2015-03-27,7
86,2015-03-28,0
87,2015-03-29,11
88,2015-03-30,7
89,2015-03-31,4
90,2015-04-01,13
91,2015-04-02,16
92,2015-04-03,7
93,2015-04-04,8
94,2015-04-05,21
95,2015-04-06,8
96,2015-04-07,6
97,2015-04-08,5
98,2015-04-09,7
99,2015-04-10,4
100,2015-04-11,21
101,2015-04-12,19
102,2015-04-13,12
103,2015-04-14,8
104,2015-04-15,19
105,2015-04-16,19
106,2015-04-17,17
107,2015-04-18,27
108,2015-04-19,18
109,2015-04-20,2
110,2015-04-21,9
111,2015-04-22,15
112,2015-04-23,12
113,2015-04-24,13
114,2015-04-25,27
115,2015-04-26,31
116,2015-04-27,13
117,2015-04-28,13
118,2015-04-29,12
119,2015-04-30,17
120,2015-05-01,21
121,2015-05-02,22
122,2015-05-03,34
123,2015-05-04,16
124,2015-05-05,22
125,2015-05-06,15
126,2015-05-07,27
127,2015-05-08,16
128,2015-05-09,24
129,2015-05-10,22
130,2015-05-11,17
131,2015-05-12,23
132,2015-05-13,17
133,2015-05-14,18
134,2015-05-15,21
135,2015-05-16,19
136,2015-05-17,27
137,2015-05-18,20
138,2015-05-19,15
139,2015-05-20,26
140,2015-05-21,23
141,2015-05-22,17
142,2015-05-23,26
143,2015-05-24,24
144,2015-05-25,19
145,2015-05-26,17
146,2015-05-27,17
147,2015-05-28,22
148,2015-05-29,23
149,2015-05-30,12
150,2015-05-31,20
151,2015-06-01,12
152,2015-06-02,2
153,2015-06-03,17
154,2015-06-04,15
155,2015-06-05,16
156,2015-06-06,20
157,2015-06-07,26
158,2015-06-08,23
159,2015-06-09,14
160,2015-06-10,21
161,2015-06-11,18
162,2015-06-12,16
163,2015-06-13,32
164,2015-06-14,11
165,2015-06-15,19
166,2015-06-16,16
167,2015-06-17,23
168,2015-06-18,15
169,2015-06-19,17
170,2015-06-20,19
171,2015-06-21,10
172,2015-06-22,27
173,2015-06-23,21
174,2015-06-24,22
175,2015-06-25,19
176,2015-06-26,20
177,2015-06-27,9
178,2015-06-28,19
179,2015-06-29,25
180,2015-06-30,20
181,2015-07-01,13
182,2015-07-02,17
183,2015-07-03,23
184,2015-07-04,21
185,2015-07-05,13
186,2015-07-06,22
187,2015-07-07,17
188,2015-07-08,14
189,2015-07-09,18
190,2015-07-10,16
191,2015-07-11,28
192,2015-07-12,19
193,2015-07-13,31
194,2015-07-14,20
195,2015-07-15,19
196,2015-07-16,22
197,2015-07-17,24
198,2015-07-18,15
199,2015-07-19,21
200,2015-07-20,17
201,2015-07-21,21
202,2015-07-22,27
203,2015-07-23,27
204,2015-07-24,21
205,2015-07-25,41
206,2015-07-26,28
207,2015-07-27,25
208,2015-07-28,23
209,2015-07-29,18
210,2015-07-30,21
211,2015-07-31,25
212,2015-08-01,34
213,2015-08-02,27
214,2015-08-03,25
215,2015-08-04,22
216,2015-08-05,34
217,2015-08-06,29
218,2015-08-07,21
219,2015-08-08,28
220,2015-08-09,26
221,2015-08-10,23
222,2015-08-11,12
