,date,472
0,2015-01-01,22
1,2015-01-02,74
2,2015-01-03,20
3,2015-01-04,41
4,2015-01-05,131
5,2015-01-06,54
6,2015-01-07,79
7,2015-01-08,70
8,2015-01-09,40
9,2015-01-10,41
10,2015-01-11,28
11,2015-01-12,61
12,2015-01-13,75
13,2015-01-14,95
14,2015-01-15,98
15,2015-01-16,104
16,2015-01-17,34
17,2015-01-18,7
18,2015-01-19,85
19,2015-01-20,104
20,2015-01-21,105
21,2015-01-22,108
22,2015-01-23,99
23,2015-01-24,27
24,2015-01-25,35
25,2015-01-26,33
26,2015-01-27,8
27,2015-01-28,26
28,2015-01-29,66
29,2015-01-30,73
30,2015-01-31,36
31,2015-02-01,39
32,2015-02-02,5
33,2015-02-03,42
34,2015-02-04,60
35,2015-02-05,54
36,2015-02-06,67
37,2015-02-07,41
38,2015-02-08,29
39,2015-02-09,39
40,2015-02-10,78
41,2015-02-11,78
42,2015-02-12,74
43,2015-02-13,64
44,2015-02-14,29
45,2015-02-15,10
46,2015-02-16,22
47,2015-02-17,22
48,2015-02-18,69
49,2015-02-19,49
50,2015-02-20,28
51,2015-02-21,10
52,2015-02-22,20
53,2015-02-23,67
54,2015-02-24,38
55,2015-02-25,62
56,2015-02-26,62
57,2015-02-27,66
58,2015-02-28,34
59,2015-03-01,14
60,2015-03-02,51
61,2015-03-03,46
62,2015-03-04,55
63,2015-03-05,5
64,2015-03-06,39
65,2015-03-07,34
66,2015-03-08,38
67,2015-03-09,112
68,2015-03-10,85
69,2015-03-11,120
70,2015-03-12,113
71,2015-03-13,96
72,2015-03-14,21
73,2015-03-15,39
74,2015-03-16,99
75,2015-03-17,96
76,2015-03-18,94
77,2015-03-19,89
78,2015-03-20,58
79,2015-03-21,50
80,2015-03-22,47
81,2015-03-23,99
82,2015-03-24,111
83,2015-03-25,92
84,2015-03-26,103
85,2015-03-27,83
86,2015-03-28,7
87,2015-03-29,51
88,2015-03-30,101
89,2015-03-31,88
90,2015-04-01,118
91,2015-04-02,143
92,2015-04-03,95
93,2015-04-04,40
94,2015-04-05,53
95,2015-04-06,145
96,2015-04-07,106
97,2015-04-08,98
98,2015-04-09,110
99,2015-04-10,103
100,2015-04-11,79
101,2015-04-12,65
102,2015-04-13,135
103,2015-04-14,138
104,2015-04-15,152
105,2015-04-16,148
106,2015-04-17,140
107,2015-04-18,75
108,2015-04-19,59
109,2015-04-20,43
110,2015-04-21,109
111,2015-04-22,118
112,2015-04-23,114
113,2015-04-24,127
114,2015-04-25,62
115,2015-04-26,57
116,2015-04-27,136
117,2015-04-28,169
118,2015-04-29,177
119,2015-04-30,146
120,2015-05-01,125
121,2015-05-02,63
122,2015-05-03,79
123,2015-05-04,150
124,2015-05-05,190
125,2015-05-06,128
126,2015-05-07,159
127,2015-05-08,177
128,2015-05-09,71
129,2015-05-10,71
130,2015-05-11,170
131,2015-05-12,184
132,2015-05-13,180
133,2015-05-14,209
134,2015-05-15,180
135,2015-05-16,72
136,2015-05-17,62
137,2015-05-18,165
138,2015-05-19,183
139,2015-05-20,195
140,2015-05-21,183
141,2015-05-22,163
142,2015-05-23,60
143,2015-05-24,68
144,2015-05-25,74
145,2015-05-26,198
146,2015-05-27,180
147,2015-05-28,197
148,2015-05-29,207
149,2015-05-30,93
150,2015-05-31,61
151,2015-06-01,99
152,2015-06-02,63
153,2015-06-03,201
154,2015-06-04,184
155,2015-06-05,176
156,2015-06-06,80
157,2015-06-07,80
158,2015-06-08,192
159,2015-06-09,173
160,2015-06-10,225
161,2015-06-11,191
162,2015-06-12,164
163,2015-06-13,71
164,2015-06-14,88
165,2015-06-15,148
166,2015-06-16,200
167,2015-06-17,229
168,2015-06-18,225
169,2015-06-19,182
170,2015-06-20,65
171,2015-06-21,75
172,2015-06-22,208
173,2015-06-23,197
174,2015-06-24,239
175,2015-06-25,212
176,2015-06-26,191
177,2015-06-27,48
178,2015-06-28,77
179,2015-06-29,195
180,2015-06-30,196
181,2015-07-01,202
182,2015-07-02,186
183,2015-07-03,75
184,2015-07-04,59
185,2015-07-05,56
186,2015-07-06,200
187,2015-07-07,216
188,2015-07-08,232
189,2015-07-09,201
190,2015-07-10,213
191,2015-07-11,72
192,2015-07-12,82
193,2015-07-13,217
194,2015-07-14,211
195,2015-07-15,189
196,2015-07-16,247
197,2015-07-17,227
198,2015-07-18,95
199,2015-07-19,84
200,2015-07-20,199
201,2015-07-21,251
202,2015-07-22,247
203,2015-07-23,250
204,2015-07-24,193
205,2015-07-25,77
206,2015-07-26,91
207,2015-07-27,227
208,2015-07-28,230
209,2015-07-29,213
210,2015-07-30,189
211,2015-07-31,212
212,2015-08-01,282
213,2015-08-02,80
214,2015-08-03,212
215,2015-08-04,206
216,2015-08-05,245
217,2015-08-06,231
218,2015-08-07,191
219,2015-08-08,308
220,2015-08-09,101
221,2015-08-10,217
222,2015-08-11,137
223,2015-08-12,237
224,2015-08-13,253
225,2015-08-14,171
226,2015-08-15,356
227,2015-08-16,82
228,2015-08-17,212
229,2015-08-18,225
230,2015-08-19,234
231,2015-08-20,219
232,2015-08-21,175
233,2015-08-22,90
234,2015-08-23,72
235,2015-08-24,200
236,2015-08-25,218
237,2015-08-26,234
238,2015-08-27,236
239,2015-08-28,205
240,2015-08-29,84
241,2015-08-30,79
242,2015-08-31,211
243,2015-09-01,250
244,2015-09-02,210
245,2015-09-03,223
246,2015-09-04,172
247,2015-09-05,76
248,2015-09-06,70
249,2015-09-07,111
250,2015-09-08,225
251,2015-09-09,233
252,2015-09-10,116
253,2015-09-11,230
254,2015-09-12,77
255,2015-09-13,79
