,date,245
0,2015-01-01,6
1,2015-01-02,4
2,2015-01-03,5
3,2015-01-04,6
4,2015-01-05,7
5,2015-01-06,1
6,2015-01-07,4
7,2015-01-08,4
8,2015-01-09,3
9,2015-01-10,3
10,2015-01-11,2
11,2015-01-12,1
12,2015-01-13,9
13,2015-01-14,3
14,2015-01-15,5
15,2015-01-16,4
16,2015-01-17,6
17,2015-01-18,2
18,2015-01-19,9
19,2015-01-20,11
20,2015-01-21,4
21,2015-01-22,3
22,2015-01-23,5
23,2015-01-24,2
24,2015-01-25,1
25,2015-01-26,5
26,2015-01-27,3
27,2015-01-28,12
28,2015-01-29,4
29,2015-01-30,4
30,2015-01-31,1
31,2015-02-01,2
32,2015-02-02,1
33,2015-02-03,3
34,2015-02-04,2
35,2015-02-05,4
36,2015-02-06,6
37,2015-02-07,2
38,2015-02-08,2
39,2015-02-09,0
40,2015-02-10,4
41,2015-02-11,6
42,2015-02-12,6
43,2015-02-13,3
44,2015-02-14,2
45,2015-02-15,1
46,2015-02-16,3
47,2015-02-17,5
48,2015-02-18,8
49,2015-02-19,1
50,2015-02-20,4
51,2015-02-21,0
52,2015-02-22,1
53,2015-02-23,3
54,2015-02-24,4
55,2015-02-25,5
56,2015-02-26,3
57,2015-02-27,5
58,2015-02-28,2
59,2015-03-01,1
60,2015-03-02,5
61,2015-03-03,3
62,2015-03-04,7
63,2015-03-05,0
64,2015-03-06,5
65,2015-03-07,3
66,2015-03-08,4
67,2015-03-09,3
68,2015-03-10,2
69,2015-03-11,9
70,2015-03-12,4
71,2015-03-13,3
72,2015-03-14,0
73,2015-03-15,3
74,2015-03-16,10
75,2015-03-17,7
76,2015-03-18,5
77,2015-03-19,7
78,2015-03-20,3
79,2015-03-21,3
80,2015-03-22,8
81,2015-03-23,7
82,2015-03-24,12
83,2015-03-25,7
84,2015-03-26,10
85,2015-03-27,4
86,2015-03-28,1
87,2015-03-29,4
88,2015-03-30,6
89,2015-03-31,1
90,2015-04-01,8
91,2015-04-02,9
92,2015-04-03,4
93,2015-04-04,7
94,2015-04-05,13
95,2015-04-06,13
96,2015-04-07,9
97,2015-04-08,17
98,2015-04-09,8
99,2015-04-10,5
100,2015-04-11,9
101,2015-04-12,7
102,2015-04-13,16
103,2015-04-14,14
104,2015-04-15,8
105,2015-04-16,21
106,2015-04-17,7
107,2015-04-18,17
108,2015-04-19,29
109,2015-04-20,3
110,2015-04-21,13
111,2015-04-22,11
112,2015-04-23,12
113,2015-04-24,9
114,2015-04-25,15
115,2015-04-26,9
116,2015-04-27,17
117,2015-04-28,20
118,2015-04-29,7
119,2015-04-30,11
120,2015-05-01,13
121,2015-05-02,21
122,2015-05-03,20
123,2015-05-04,22
124,2015-05-05,10
125,2015-05-06,14
126,2015-05-07,21
127,2015-05-08,17
128,2015-05-09,32
129,2015-05-10,8
130,2015-05-11,14
131,2015-05-12,21
132,2015-05-13,11
133,2015-05-14,46
134,2015-05-15,15
135,2015-05-16,10
136,2015-05-17,13
137,2015-05-18,22
138,2015-05-19,14
139,2015-05-20,18
140,2015-05-21,19
141,2015-05-22,15
142,2015-05-23,9
143,2015-05-24,6
144,2015-05-25,15
145,2015-05-26,16
146,2015-05-27,18
147,2015-05-28,28
148,2015-05-29,20
149,2015-05-30,18
150,2015-05-31,13
151,2015-06-01,14
152,2015-06-02,4
153,2015-06-03,18
154,2015-06-04,8
155,2015-06-05,11
156,2015-06-06,7
157,2015-06-07,15
158,2015-06-08,11
159,2015-06-09,16
160,2015-06-10,25
161,2015-06-11,15
162,2015-06-12,14
163,2015-06-13,9
164,2015-06-14,12
165,2015-06-15,11
166,2015-06-16,10
167,2015-06-17,12
168,2015-06-18,11
169,2015-06-19,16
170,2015-06-20,15
171,2015-06-21,5
172,2015-06-22,15
173,2015-06-23,16
174,2015-06-24,20
175,2015-06-25,17
176,2015-06-26,16
177,2015-06-27,4
178,2015-06-28,8
179,2015-06-29,14
180,2015-06-30,11
181,2015-07-01,9
182,2015-07-02,7
183,2015-07-03,6
184,2015-07-04,11
185,2015-07-05,12
186,2015-07-06,18
187,2015-07-07,25
188,2015-07-08,15
189,2015-07-09,10
190,2015-07-10,16
191,2015-07-11,7
192,2015-07-12,12
193,2015-07-13,15
194,2015-07-14,14
195,2015-07-15,12
196,2015-07-16,13
197,2015-07-17,12
198,2015-07-18,20
199,2015-07-19,8
200,2015-07-20,21
201,2015-07-21,13
202,2015-07-22,15
203,2015-07-23,17
204,2015-07-24,19
205,2015-07-25,13
206,2015-07-26,17
207,2015-07-27,13
208,2015-07-28,10
209,2015-07-29,16
210,2015-07-30,13
211,2015-07-31,20
212,2015-08-01,12
213,2015-08-02,17
214,2015-08-03,11
215,2015-08-04,16
216,2015-08-05,14
217,2015-08-06,30
218,2015-08-07,19
219,2015-08-08,29
220,2015-08-09,12
221,2015-08-10,17
222,2015-08-11,14
223,2015-08-12,22
224,2015-08-13,24
225,2015-08-14,19
226,2015-08-15,16
227,2015-08-16,13
228,2015-08-17,23
229,2015-08-18,20
230,2015-08-19,18
231,2015-08-20,12
232,2015-08-21,19
233,2015-08-22,26
234,2015-08-23,22
235,2015-08-24,14
236,2015-08-25,23
237,2015-08-26,28
238,2015-08-27,22
239,2015-08-28,22
240,2015-08-29,31
241,2015-08-30,21
242,2015-08-31,28
243,2015-09-01,29
244,2015-09-02,14
245,2015-09-03,21
246,2015-09-04,14
247,2015-09-05,33
248,2015-09-06,19
249,2015-09-07,13
250,2015-09-08,18
251,2015-09-09,15
252,2015-09-10,9
253,2015-09-11,21
254,2015-09-12,11
255,2015-09-13,17
256,2015-09-14,15
257,2015-09-15,21
258,2015-09-16,19
259,2015-09-17,19
260,2015-09-18,15
261,2015-09-19,31
262,2015-09-20,23
263,2015-09-21,16
264,2015-09-22,27
265,2015-09-23,29
266,2015-09-24,22
267,2015-09-25,13
268,2015-09-26,17
269,2015-09-27,20
270,2015-09-28,14
271,2015-09-29,15
272,2015-09-30,22
273,2015-10-01,9
274,2015-10-02,2
275,2015-10-03,6
276,2015-10-04,11
277,2015-10-05,10
278,2015-10-06,18
279,2015-10-07,17
280,2015-10-08,20
281,2015-10-09,22
282,2015-10-10,7
283,2015-10-11,14
284,2015-10-12,15
285,2015-10-13,21
286,2015-10-14,26
287,2015-10-15,19
288,2015-10-16,21
289,2015-10-17,13
290,2015-10-18,9
291,2015-10-19,7
292,2015-10-20,15
293,2015-10-21,14
294,2015-10-22,9
295,2015-10-23,16
296,2015-10-24,11
297,2015-10-25,7
298,2015-10-26,17
299,2015-10-27,22
300,2015-10-28,10
301,2015-10-29,20
302,2015-10-30,18
303,2015-10-31,14
304,2015-11-01,6
305,2015-11-02,11
306,2015-11-03,21
307,2015-11-04,7
308,2015-11-05,10
309,2015-11-06,12
310,2015-11-07,9
311,2015-11-08,5
312,2015-11-09,15
313,2015-11-10,5
314,2015-11-11,9
315,2015-11-12,7
316,2015-11-13,11
317,2015-11-14,9
318,2015-11-15,14
319,2015-11-16,17
320,2015-11-17,10
321,2015-11-18,8
322,2015-11-19,5
323,2015-11-20,11
324,2015-11-21,15
325,2015-11-22,14
326,2015-11-23,17
327,2015-11-24,7
328,2015-11-25,9
329,2015-11-26,11
330,2015-11-27,14
331,2015-11-28,5
332,2015-11-29,7
333,2015-11-30,16
334,2015-12-01,11
335,2015-12-02,10
336,2015-12-03,8
337,2015-12-04,13
338,2015-12-05,13
339,2015-12-06,7
340,2015-12-07,8
341,2015-12-08,14
342,2015-12-09,7
343,2015-12-10,11
344,2015-12-11,9
345,2015-12-12,15
346,2015-12-13,13
347,2015-12-14,14
348,2015-12-15,10
349,2015-12-16,9
350,2015-12-17,9
351,2015-12-18,9
352,2015-12-19,7
353,2015-12-20,6
354,2015-12-21,7
355,2015-12-22,9
356,2015-12-23,4
357,2015-12-24,8
358,2015-12-25,6
359,2015-12-26,6
360,2015-12-27,7
361,2015-12-28,9
362,2015-12-29,3
363,2015-12-30,7
364,2015-12-31,8
