,date,327
0,2015-01-01,13
1,2015-01-02,68
2,2015-01-03,12
3,2015-01-04,35
4,2015-01-05,100
5,2015-01-06,60
6,2015-01-07,70
7,2015-01-08,43
8,2015-01-09,40
9,2015-01-10,26
10,2015-01-11,24
11,2015-01-12,61
12,2015-01-13,90
13,2015-01-14,67
14,2015-01-15,86
15,2015-01-16,82
16,2015-01-17,29
17,2015-01-18,6
18,2015-01-19,53
19,2015-01-20,90
20,2015-01-21,90
21,2015-01-22,84
22,2015-01-23,98
23,2015-01-24,21
24,2015-01-25,33
25,2015-01-26,30
26,2015-01-27,1
27,2015-01-28,37
28,2015-01-29,61
29,2015-01-30,43
30,2015-01-31,12
31,2015-02-01,11
32,2015-02-02,8
33,2015-02-03,22
34,2015-02-04,63
35,2015-02-05,45
36,2015-02-06,44
37,2015-02-07,22
38,2015-02-08,25
39,2015-02-09,13
40,2015-02-10,50
41,2015-02-11,60
42,2015-02-12,50
43,2015-02-13,22
44,2015-02-14,17
45,2015-02-15,2
46,2015-02-16,11
47,2015-02-17,22
48,2015-02-18,39
49,2015-02-19,30
50,2015-02-20,18
51,2015-02-21,8
52,2015-02-22,16
53,2015-02-23,36
54,2015-02-24,33
55,2015-02-25,65
56,2015-02-26,45
57,2015-02-27,54
58,2015-02-28,14
59,2015-03-01,6
60,2015-03-02,41
61,2015-03-03,30
62,2015-03-04,35
63,2015-03-05,9
64,2015-03-06,32
65,2015-03-07,12
66,2015-03-08,46
67,2015-03-09,105
68,2015-03-10,70
69,2015-03-11,136
70,2015-03-12,102
71,2015-03-13,95
72,2015-03-14,11
73,2015-03-15,27
74,2015-03-16,114
75,2015-03-17,60
76,2015-03-18,79
77,2015-03-19,92
78,2015-03-20,41
79,2015-03-21,28
80,2015-03-22,42
81,2015-03-23,83
82,2015-03-24,100
83,2015-03-25,81
84,2015-03-26,87
85,2015-03-27,88
86,2015-03-28,1
87,2015-03-29,45
88,2015-03-30,114
89,2015-03-31,78
90,2015-04-01,121
91,2015-04-02,163
92,2015-04-03,67
93,2015-04-04,61
94,2015-04-05,63
95,2015-04-06,180
96,2015-04-07,97
97,2015-04-08,121
98,2015-04-09,88
99,2015-04-10,80
100,2015-04-11,127
101,2015-04-12,185
102,2015-04-13,185
103,2015-04-14,149
104,2015-04-15,200
105,2015-04-16,201
106,2015-04-17,179
107,2015-04-18,301
108,2015-04-19,168
109,2015-04-20,79
110,2015-04-21,170
111,2015-04-22,172
112,2015-04-23,150
113,2015-04-24,142
114,2015-04-25,179
115,2015-04-26,67
116,2015-04-27,175
117,2015-04-28,224
118,2015-04-29,283
119,2015-04-30,213
120,2015-05-01,223
121,2015-05-02,185
122,2015-05-03,270
123,2015-05-04,251
124,2015-05-05,254
125,2015-05-06,198
126,2015-05-07,246
127,2015-05-08,294
128,2015-05-09,211
129,2015-05-10,253
130,2015-05-11,247
131,2015-05-12,251
132,2015-05-13,236
133,2015-05-14,319
134,2015-05-15,269
135,2015-05-16,156
136,2015-05-17,321
137,2015-05-18,245
138,2015-05-19,248
139,2015-05-20,227
140,2015-05-21,196
141,2015-05-22,205
142,2015-05-23,247
143,2015-05-24,274
144,2015-05-25,278
145,2015-05-26,280
146,2015-05-27,236
147,2015-05-28,254
148,2015-05-29,327
149,2015-05-30,283
150,2015-05-31,140
151,2015-06-01,114
152,2015-06-02,62
153,2015-06-03,214
154,2015-06-04,219
155,2015-06-05,239
156,2015-06-06,172
157,2015-06-07,324
158,2015-06-08,266
159,2015-06-09,250
160,2015-06-10,318
161,2015-06-11,264
162,2015-06-12,302
163,2015-06-13,256
164,2015-06-14,233
165,2015-06-15,178
166,2015-06-16,237
167,2015-06-17,269
168,2015-06-18,230
169,2015-06-19,302
170,2015-06-20,164
171,2015-06-21,222
172,2015-06-22,296
173,2015-06-23,250
174,2015-06-24,312
175,2015-06-25,287
176,2015-06-26,289
177,2015-06-27,85
178,2015-06-28,137
179,2015-06-29,312
180,2015-06-30,296
181,2015-07-01,266
182,2015-07-02,314
183,2015-07-03,288
184,2015-07-04,203
185,2015-07-05,241
186,2015-07-06,263
187,2015-07-07,276
188,2015-07-08,246
189,2015-07-09,201
190,2015-07-10,296
191,2015-07-11,287
192,2015-07-12,217
193,2015-07-13,289
194,2015-07-14,308
195,2015-07-15,286
196,2015-07-16,330
197,2015-07-17,304
198,2015-07-18,231
199,2015-07-19,239
200,2015-07-20,231
201,2015-07-21,296
202,2015-07-22,361
203,2015-07-23,289
204,2015-07-24,346
205,2015-07-25,346
206,2015-07-26,274
207,2015-07-27,317
208,2015-07-28,267
209,2015-07-29,290
210,2015-07-30,208
211,2015-07-31,289
212,2015-08-01,303
213,2015-08-02,264
214,2015-08-03,321
215,2015-08-04,323
216,2015-08-05,292
217,2015-08-06,309
218,2015-08-07,319
219,2015-08-08,316
220,2015-08-09,310
221,2015-08-10,329
222,2015-08-11,133
223,2015-08-12,313
224,2015-08-13,308
225,2015-08-14,309
226,2015-08-15,205
227,2015-08-16,261
228,2015-08-17,325
229,2015-08-18,276
230,2015-08-19,293
231,2015-08-20,251
232,2015-08-21,294
233,2015-08-22,279
234,2015-08-23,303
235,2015-08-24,302
