,date,412
0,2015-01-01,24
1,2015-01-02,44
2,2015-01-03,15
3,2015-01-04,31
4,2015-01-05,36
5,2015-01-06,19
6,2015-01-07,15
7,2015-01-08,12
8,2015-01-09,15
9,2015-01-10,12
10,2015-01-11,23
11,2015-01-12,13
12,2015-01-13,24
13,2015-01-14,23
14,2015-01-15,26
15,2015-01-16,23
16,2015-01-17,10
17,2015-01-18,3
18,2015-01-19,34
19,2015-01-20,26
20,2015-01-21,27
21,2015-01-22,32
22,2015-01-23,34
23,2015-01-24,15
24,2015-01-25,21
25,2015-01-26,6
26,2015-01-27,0
27,2015-01-28,9
28,2015-01-29,24
29,2015-01-30,20
30,2015-01-31,9
31,2015-02-01,17
32,2015-02-02,1
33,2015-02-03,8
34,2015-02-04,12
35,2015-02-05,24
36,2015-02-06,20
37,2015-02-07,28
38,2015-02-08,21
39,2015-02-09,6
40,2015-02-10,32
41,2015-02-11,15
42,2015-02-12,15
43,2015-02-13,12
44,2015-02-14,8
45,2015-02-15,14
46,2015-02-16,10
47,2015-02-17,15
48,2015-02-18,20
49,2015-02-19,18
50,2015-02-20,12
51,2015-02-21,4
52,2015-02-22,18
53,2015-02-23,25
54,2015-02-24,13
55,2015-02-25,16
56,2015-02-26,20
57,2015-02-27,18
58,2015-02-28,25
59,2015-03-01,9
60,2015-03-02,25
61,2015-03-03,11
62,2015-03-04,13
63,2015-03-05,0
64,2015-03-06,12
65,2015-03-07,27
66,2015-03-08,18
67,2015-03-09,42
68,2015-03-10,19
69,2015-03-11,50
70,2015-03-12,36
71,2015-03-13,40
72,2015-03-14,9
73,2015-03-15,23
74,2015-03-16,24
75,2015-03-17,22
76,2015-03-18,26
77,2015-03-19,31
78,2015-03-20,13
79,2015-03-21,26
80,2015-03-22,31
81,2015-03-23,23
82,2015-03-24,31
83,2015-03-25,40
84,2015-03-26,23
85,2015-03-27,16
86,2015-03-28,1
87,2015-03-29,28
88,2015-03-30,38
89,2015-03-31,17
90,2015-04-01,42
91,2015-04-02,55
92,2015-04-03,35
93,2015-04-04,43
94,2015-04-05,62
95,2015-04-06,59
96,2015-04-07,46
97,2015-04-08,28
98,2015-04-09,38
99,2015-04-10,30
100,2015-04-11,73
101,2015-04-12,82
102,2015-04-13,47
103,2015-04-14,66
104,2015-04-15,63
105,2015-04-16,70
106,2015-04-17,56
107,2015-04-18,101
108,2015-04-19,84
109,2015-04-20,35
110,2015-04-21,64
111,2015-04-22,28
112,2015-04-23,48
113,2015-04-24,43
114,2015-04-25,81
115,2015-04-26,81
116,2015-04-27,46
117,2015-04-28,71
118,2015-04-29,88
119,2015-04-30,58
120,2015-05-01,48
121,2015-05-02,79
122,2015-05-03,110
123,2015-05-04,76
124,2015-05-05,98
125,2015-05-06,64
126,2015-05-07,83
127,2015-05-08,67
128,2015-05-09,83
129,2015-05-10,86
130,2015-05-11,82
131,2015-05-12,75
132,2015-05-13,69
133,2015-05-14,115
134,2015-05-15,72
135,2015-05-16,87
136,2015-05-17,102
137,2015-05-18,87
138,2015-05-19,82
139,2015-05-20,87
140,2015-05-21,62
141,2015-05-22,76
142,2015-05-23,114
143,2015-05-24,119
144,2015-05-25,66
145,2015-05-26,80
146,2015-05-27,69
147,2015-05-28,72
148,2015-05-29,105
149,2015-05-30,112
150,2015-05-31,75
151,2015-06-01,38
152,2015-06-02,27
153,2015-06-03,92
154,2015-06-04,66
155,2015-06-05,64
156,2015-06-06,97
157,2015-06-07,93
158,2015-06-08,84
159,2015-06-09,106
160,2015-06-10,75
161,2015-06-11,72
162,2015-06-12,84
163,2015-06-13,86
164,2015-06-14,83
165,2015-06-15,38
166,2015-06-16,76
167,2015-06-17,72
168,2015-06-18,86
169,2015-06-19,101
170,2015-06-20,95
171,2015-06-21,75
172,2015-06-22,77
173,2015-06-23,72
174,2015-06-24,76
175,2015-06-25,92
176,2015-06-26,79
177,2015-06-27,50
178,2015-06-28,62
179,2015-06-29,106
180,2015-06-30,89
181,2015-07-01,80
182,2015-07-02,74
183,2015-07-03,100
184,2015-07-04,104
185,2015-07-05,109
186,2015-07-06,96
187,2015-07-07,81
188,2015-07-08,73
189,2015-07-09,66
190,2015-07-10,88
191,2015-07-11,143
192,2015-07-12,127
193,2015-07-13,82
194,2015-07-14,79
195,2015-07-15,70
196,2015-07-16,90
197,2015-07-17,104
198,2015-07-18,86
199,2015-07-19,107
200,2015-07-20,76
201,2015-07-21,95
202,2015-07-22,84
203,2015-07-23,117
204,2015-07-24,94
205,2015-07-25,98
206,2015-07-26,103
207,2015-07-27,79
208,2015-07-28,108
209,2015-07-29,93
210,2015-07-30,76
211,2015-07-31,88
212,2015-08-01,103
213,2015-08-02,106
214,2015-08-03,99
215,2015-08-04,94
216,2015-08-05,81
217,2015-08-06,85
218,2015-08-07,109
219,2015-08-08,108
220,2015-08-09,119
221,2015-08-10,102
222,2015-08-11,66
223,2015-08-12,116
224,2015-08-13,116
225,2015-08-14,103
226,2015-08-15,118
227,2015-08-16,102
228,2015-08-17,116
229,2015-08-18,95
230,2015-08-19,91
231,2015-08-20,90
232,2015-08-21,90
233,2015-08-22,124
234,2015-08-23,107
235,2015-08-24,93
236,2015-08-25,109
237,2015-08-26,102
238,2015-08-27,110
239,2015-08-28,91
240,2015-08-29,104
241,2015-08-30,70
242,2015-08-31,96
243,2015-09-01,95
244,2015-09-02,101
245,2015-09-03,91
246,2015-09-04,121
247,2015-09-05,107
248,2015-09-06,79
249,2015-09-07,93
250,2015-09-08,117
251,2015-09-09,100
252,2015-09-10,43
253,2015-09-11,121
254,2015-09-12,93
255,2015-09-13,93
256,2015-09-14,91
257,2015-09-15,104
258,2015-09-16,85
259,2015-09-17,98
260,2015-09-18,103
261,2015-09-19,120
262,2015-09-20,75
263,2015-09-21,108
264,2015-09-22,98
265,2015-09-23,89
266,2015-09-24,120
267,2015-09-25,109
268,2015-09-26,117
269,2015-09-27,100
270,2015-09-28,114
271,2015-09-29,89
272,2015-09-30,73
273,2015-10-01,61
274,2015-10-02,22
275,2015-10-03,47
276,2015-10-04,71
277,2015-10-05,68
278,2015-10-06,75
279,2015-10-07,102
280,2015-10-08,112
281,2015-10-09,73
282,2015-10-10,132
283,2015-10-11,122
284,2015-10-12,100
285,2015-10-13,101
286,2015-10-14,89
287,2015-10-15,98
288,2015-10-16,89
289,2015-10-17,86
290,2015-10-18,64
291,2015-10-19,84
292,2015-10-20,83
293,2015-10-21,93
294,2015-10-22,81
295,2015-10-23,90
296,2015-10-24,104
297,2015-10-25,73
298,2015-10-26,80
299,2015-10-27,76
300,2015-10-28,29
301,2015-10-29,87
302,2015-10-30,81
303,2015-10-31,91
304,2015-11-01,73
305,2015-11-02,96
306,2015-11-03,92
307,2015-11-04,100
308,2015-11-05,84
309,2015-11-06,107
310,2015-11-07,88
311,2015-11-08,86
312,2015-11-09,86
313,2015-11-10,25
314,2015-11-11,68
315,2015-11-12,65
316,2015-11-13,69
317,2015-11-14,64
318,2015-11-15,57
319,2015-11-16,99
320,2015-11-17,63
321,2015-11-18,72
322,2015-11-19,30
323,2015-11-20,75
324,2015-11-21,84
325,2015-11-22,61
326,2015-11-23,76
327,2015-11-24,60
328,2015-11-25,67
329,2015-11-26,45
330,2015-11-27,79
331,2015-11-28,50
332,2015-11-29,42
