,date,395
0,2015-01-01,7
1,2015-01-02,15
2,2015-01-03,6
3,2015-01-04,10
4,2015-01-05,11
5,2015-01-06,3
6,2015-01-07,9
7,2015-01-08,6
8,2015-01-09,8
9,2015-01-10,5
10,2015-01-11,7
11,2015-01-12,9
12,2015-01-13,18
13,2015-01-14,15
14,2015-01-15,15
15,2015-01-16,16
16,2015-01-17,11
17,2015-01-18,0
18,2015-01-19,10
19,2015-01-20,14
20,2015-01-21,13
21,2015-01-22,20
22,2015-01-23,13
23,2015-01-24,4
24,2015-01-25,14
25,2015-01-26,6
26,2015-01-27,2
27,2015-01-28,9
28,2015-01-29,11
29,2015-01-30,12
30,2015-01-31,4
31,2015-02-01,4
32,2015-02-02,2
33,2015-02-03,4
34,2015-02-04,15
35,2015-02-05,12
36,2015-02-06,8
37,2015-02-07,9
38,2015-02-08,5
39,2015-02-09,3
40,2015-02-10,10
41,2015-02-11,10
42,2015-02-12,9
43,2015-02-13,8
44,2015-02-14,3
45,2015-02-15,4
46,2015-02-16,3
47,2015-02-17,4
48,2015-02-18,9
49,2015-02-19,7
50,2015-02-20,5
51,2015-02-21,2
52,2015-02-22,4
53,2015-02-23,9
54,2015-02-24,6
55,2015-02-25,15
56,2015-02-26,13
57,2015-02-27,6
58,2015-02-28,11
59,2015-03-01,2
60,2015-03-02,5
61,2015-03-03,9
62,2015-03-04,6
63,2015-03-05,1
64,2015-03-06,7
65,2015-03-07,13
66,2015-03-08,11
67,2015-03-09,11
68,2015-03-10,8
69,2015-03-11,16
70,2015-03-12,8
71,2015-03-13,9
72,2015-03-14,8
73,2015-03-15,16
74,2015-03-16,14
75,2015-03-17,17
76,2015-03-18,7
77,2015-03-19,12
78,2015-03-20,14
79,2015-03-21,11
80,2015-03-22,18
81,2015-03-23,13
82,2015-03-24,16
83,2015-03-25,10
84,2015-03-26,14
85,2015-03-27,11
86,2015-03-28,4
87,2015-03-29,23
88,2015-03-30,12
89,2015-03-31,19
90,2015-04-01,22
91,2015-04-02,21
92,2015-04-03,19
93,2015-04-04,20
94,2015-04-05,17
95,2015-04-06,26
96,2015-04-07,13
97,2015-04-08,22
98,2015-04-09,16
99,2015-04-10,11
100,2015-04-11,22
101,2015-04-12,32
102,2015-04-13,27
103,2015-04-14,22
104,2015-04-15,30
105,2015-04-16,28
106,2015-04-17,26
107,2015-04-18,44
108,2015-04-19,24
109,2015-04-20,14
110,2015-04-21,15
111,2015-04-22,29
112,2015-04-23,26
113,2015-04-24,20
114,2015-04-25,37
115,2015-04-26,39
116,2015-04-27,22
117,2015-04-28,27
118,2015-04-29,33
119,2015-04-30,28
120,2015-05-01,31
121,2015-05-02,34
122,2015-05-03,42
123,2015-05-04,38
124,2015-05-05,42
125,2015-05-06,32
126,2015-05-07,34
127,2015-05-08,33
128,2015-05-09,24
129,2015-05-10,32
130,2015-05-11,28
131,2015-05-12,38
132,2015-05-13,43
133,2015-05-14,48
134,2015-05-15,37
135,2015-05-16,30
136,2015-05-17,45
137,2015-05-18,36
138,2015-05-19,34
139,2015-05-20,26
140,2015-05-21,29
141,2015-05-22,29
142,2015-05-23,26
143,2015-05-24,32
144,2015-05-25,37
145,2015-05-26,41
146,2015-05-27,36
147,2015-05-28,37
148,2015-05-29,45
149,2015-05-30,37
150,2015-05-31,28
151,2015-06-01,23
152,2015-06-02,9
153,2015-06-03,38
154,2015-06-04,27
155,2015-06-05,35
156,2015-06-06,30
157,2015-06-07,38
158,2015-06-08,27
159,2015-06-09,35
160,2015-06-10,38
161,2015-06-11,39
162,2015-06-12,36
163,2015-06-13,29
164,2015-06-14,51
165,2015-06-15,21
166,2015-06-16,30
167,2015-06-17,39
168,2015-06-18,41
169,2015-06-19,45
170,2015-06-20,24
171,2015-06-21,34
172,2015-06-22,36
173,2015-06-23,34
174,2015-06-24,29
175,2015-06-25,42
176,2015-06-26,41
177,2015-06-27,22
178,2015-06-28,27
179,2015-06-29,28
180,2015-06-30,43
181,2015-07-01,52
182,2015-07-02,24
183,2015-07-03,31
184,2015-07-04,22
185,2015-07-05,33
186,2015-07-06,39
187,2015-07-07,43
188,2015-07-08,40
189,2015-07-09,36
190,2015-07-10,38
191,2015-07-11,45
192,2015-07-12,43
193,2015-07-13,32
194,2015-07-14,36
195,2015-07-15,33
196,2015-07-16,50
197,2015-07-17,43
198,2015-07-18,32
199,2015-07-19,36
200,2015-07-20,33
201,2015-07-21,41
202,2015-07-22,35
203,2015-07-23,40
204,2015-07-24,48
205,2015-07-25,32
206,2015-07-26,29
207,2015-07-27,36
208,2015-07-28,38
209,2015-07-29,31
210,2015-07-30,32
211,2015-07-31,31
212,2015-08-01,23
213,2015-08-02,32
214,2015-08-03,41
215,2015-08-04,36
216,2015-08-05,31
217,2015-08-06,39
218,2015-08-07,32
219,2015-08-08,33
220,2015-08-09,38
221,2015-08-10,31
222,2015-08-11,18
223,2015-08-12,36
224,2015-08-13,36
225,2015-08-14,42
226,2015-08-15,32
227,2015-08-16,27
228,2015-08-17,30
229,2015-08-18,2
230,2015-08-19,0
231,2015-08-20,0
232,2015-08-21,0
233,2015-08-22,0
234,2015-08-23,0
235,2015-08-24,0
236,2015-08-25,0
237,2015-08-26,0
238,2015-08-27,0
239,2015-08-28,0
240,2015-08-29,0
241,2015-08-30,0
242,2015-08-31,0
243,2015-09-01,0
244,2015-09-02,0
245,2015-09-03,0
246,2015-09-04,0
247,2015-09-05,0
248,2015-09-06,0
249,2015-09-07,0
250,2015-09-08,0
251,2015-09-09,0
252,2015-09-10,0
253,2015-09-11,0
254,2015-09-12,0
255,2015-09-13,0
256,2015-09-14,0
257,2015-09-15,0
258,2015-09-16,0
259,2015-09-17,0
