,date,532
0,2015-01-01,10
1,2015-01-02,24
2,2015-01-03,11
3,2015-01-04,16
4,2015-01-05,18
5,2015-01-06,9
6,2015-01-07,13
7,2015-01-08,10
8,2015-01-09,7
9,2015-01-10,11
10,2015-01-11,7
11,2015-01-12,8
12,2015-01-13,11
13,2015-01-14,13
14,2015-01-15,16
15,2015-01-16,10
16,2015-01-17,12
17,2015-01-18,2
18,2015-01-19,19
19,2015-01-20,10
20,2015-01-21,16
21,2015-01-22,19
22,2015-01-23,14
23,2015-01-24,6
24,2015-01-25,19
25,2015-01-26,6
26,2015-01-27,2
27,2015-01-28,9
28,2015-01-29,8
29,2015-01-30,3
30,2015-01-31,7
31,2015-02-01,7
32,2015-02-02,3
33,2015-02-03,6
34,2015-02-04,7
35,2015-02-05,10
36,2015-02-06,6
37,2015-02-07,11
38,2015-02-08,13
39,2015-02-09,7
40,2015-02-10,11
41,2015-02-11,15
42,2015-02-12,13
43,2015-02-13,5
44,2015-02-14,7
45,2015-02-15,7
46,2015-02-16,8
47,2015-02-17,7
48,2015-02-18,9
49,2015-02-19,7
50,2015-02-20,2
51,2015-02-21,5
52,2015-02-22,7
53,2015-02-23,9
54,2015-02-24,4
55,2015-02-25,9
56,2015-02-26,10
57,2015-02-27,10
58,2015-02-28,14
59,2015-03-01,3
60,2015-03-02,9
61,2015-03-03,5
62,2015-03-04,10
63,2015-03-05,4
64,2015-03-06,2
65,2015-03-07,12
66,2015-03-08,24
67,2015-03-09,42
68,2015-03-10,18
69,2015-03-11,28
70,2015-03-12,32
71,2015-03-13,26
72,2015-03-14,8
73,2015-03-15,27
74,2015-03-16,27
75,2015-03-17,21
76,2015-03-18,18
77,2015-03-19,32
78,2015-03-20,9
79,2015-03-21,23
80,2015-03-22,45
81,2015-03-23,17
82,2015-03-24,16
83,2015-03-25,22
84,2015-03-26,24
85,2015-03-27,19
86,2015-03-28,4
87,2015-03-29,44
88,2015-03-30,25
89,2015-03-31,41
90,2015-04-01,36
91,2015-04-02,57
92,2015-04-03,37
93,2015-04-04,58
94,2015-04-05,68
95,2015-04-06,51
96,2015-04-07,27
97,2015-04-08,22
98,2015-04-09,24
99,2015-04-10,30
100,2015-04-11,135
101,2015-04-12,103
102,2015-04-13,53
103,2015-04-14,23
104,2015-04-15,68
105,2015-04-16,46
106,2015-04-17,49
107,2015-04-18,275
108,2015-04-19,113
109,2015-04-20,18
110,2015-04-21,53
111,2015-04-22,38
112,2015-04-23,40
113,2015-04-24,45
114,2015-04-25,154
115,2015-04-26,124
116,2015-04-27,42
117,2015-04-28,53
118,2015-04-29,78
119,2015-04-30,70
120,2015-05-01,74
121,2015-05-02,185
122,2015-05-03,203
123,2015-05-04,81
124,2015-05-05,69
125,2015-05-06,57
126,2015-05-07,90
127,2015-05-08,89
128,2015-05-09,159
129,2015-05-10,214
130,2015-05-11,70
131,2015-05-12,75
132,2015-05-13,68
133,2015-05-14,140
134,2015-05-15,100
135,2015-05-16,175
136,2015-05-17,193
137,2015-05-18,96
138,2015-05-19,60
139,2015-05-20,82
140,2015-05-21,86
141,2015-05-22,90
142,2015-05-23,185
143,2015-05-24,154
144,2015-05-25,169
145,2015-05-26,110
146,2015-05-27,74
147,2015-05-28,76
148,2015-05-29,111
149,2015-05-30,140
150,2015-05-31,64
151,2015-06-01,22
152,2015-06-02,15
153,2015-06-03,67
154,2015-06-04,78
155,2015-06-05,75
156,2015-06-06,152
157,2015-06-07,186
158,2015-06-08,82
159,2015-06-09,76
160,2015-06-10,92
161,2015-06-11,92
162,2015-06-12,83
163,2015-06-13,104
164,2015-06-14,146
165,2015-06-15,72
166,2015-06-16,64
167,2015-06-17,80
168,2015-06-18,70
169,2015-06-19,97
170,2015-06-20,94
171,2015-06-21,118
172,2015-06-22,83
173,2015-06-23,60
174,2015-06-24,79
175,2015-06-25,74
176,2015-06-26,88
177,2015-06-27,74
178,2015-06-28,84
179,2015-06-29,85
180,2015-06-30,90
181,2015-07-01,57
182,2015-07-02,92
183,2015-07-03,95
184,2015-07-04,114
185,2015-07-05,109
186,2015-07-06,87
187,2015-07-07,65
188,2015-07-08,88
189,2015-07-09,63
190,2015-07-10,83
191,2015-07-11,144
192,2015-07-12,119
193,2015-07-13,105
194,2015-07-14,65
195,2015-07-15,63
196,2015-07-16,127
197,2015-07-17,100
198,2015-07-18,142
199,2015-07-19,113
200,2015-07-20,72
201,2015-07-21,96
