,date,450
0,2015-01-01,31
1,2015-01-02,53
2,2015-01-03,20
3,2015-01-04,27
4,2015-01-05,65
5,2015-01-06,38
6,2015-01-07,46
7,2015-01-08,27
8,2015-01-09,30
9,2015-01-10,38
10,2015-01-11,23
11,2015-01-12,41
12,2015-01-13,44
13,2015-01-14,57
14,2015-01-15,74
15,2015-01-16,64
16,2015-01-17,34
17,2015-01-18,6
18,2015-01-19,29
19,2015-01-20,73
20,2015-01-21,54
21,2015-01-22,64
22,2015-01-23,77
23,2015-01-24,23
24,2015-01-25,48
25,2015-01-26,12
26,2015-01-27,0
27,2015-01-28,19
28,2015-01-29,1
29,2015-01-30,26
30,2015-01-31,30
31,2015-02-01,32
32,2015-02-02,4
33,2015-02-03,10
34,2015-02-04,32
35,2015-02-05,37
36,2015-02-06,29
37,2015-02-07,24
38,2015-02-08,18
39,2015-02-09,16
40,2015-02-10,36
41,2015-02-11,41
42,2015-02-12,41
43,2015-02-13,27
44,2015-02-14,24
45,2015-02-15,11
46,2015-02-16,13
47,2015-02-17,18
48,2015-02-18,28
49,2015-02-19,20
50,2015-02-20,36
51,2015-02-21,21
52,2015-02-22,16
53,2015-02-23,25
54,2015-02-24,16
55,2015-02-25,39
56,2015-02-26,50
57,2015-02-27,54
58,2015-02-28,27
59,2015-03-01,21
60,2015-03-02,27
61,2015-03-03,29
62,2015-03-04,27
63,2015-03-05,4
64,2015-03-06,7
65,2015-03-07,28
66,2015-03-08,21
67,2015-03-09,44
68,2015-03-10,42
69,2015-03-11,59
70,2015-03-12,71
71,2015-03-13,71
72,2015-03-14,20
73,2015-03-15,32
74,2015-03-16,68
75,2015-03-17,1
76,2015-03-18,33
77,2015-03-19,72
78,2015-03-20,43
79,2015-03-21,36
80,2015-03-22,42
81,2015-03-23,59
82,2015-03-24,70
83,2015-03-25,70
84,2015-03-26,54
85,2015-03-27,56
86,2015-03-28,3
87,2015-03-29,37
88,2015-03-30,54
89,2015-03-31,55
90,2015-04-01,93
91,2015-04-02,90
92,2015-04-03,58
93,2015-04-04,49
94,2015-04-05,43
95,2015-04-06,85
96,2015-04-07,61
97,2015-04-08,83
98,2015-04-09,70
99,2015-04-10,59
100,2015-04-11,47
101,2015-04-12,64
102,2015-04-13,102
103,2015-04-14,77
104,2015-04-15,91
105,2015-04-16,103
106,2015-04-17,108
107,2015-04-18,81
108,2015-04-19,88
109,2015-04-20,31
110,2015-04-21,101
111,2015-04-22,89
112,2015-04-23,91
113,2015-04-24,85
114,2015-04-25,73
115,2015-04-26,71
116,2015-04-27,86
117,2015-04-28,94
118,2015-04-29,109
119,2015-04-30,103
120,2015-05-01,108
121,2015-05-02,81
122,2015-05-03,92
123,2015-05-04,110
124,2015-05-05,127
125,2015-05-06,109
126,2015-05-07,138
127,2015-05-08,115
128,2015-05-09,101
129,2015-05-10,86
130,2015-05-11,114
131,2015-05-12,152
132,2015-05-13,143
133,2015-05-14,139
134,2015-05-15,124
135,2015-05-16,79
136,2015-05-17,88
137,2015-05-18,118
138,2015-05-19,124
139,2015-05-20,117
140,2015-05-21,52
141,2015-05-22,0
142,2015-05-23,0
143,2015-05-24,0
144,2015-05-25,0
145,2015-05-26,0
146,2015-05-27,0
147,2015-05-28,0
148,2015-05-29,0
149,2015-05-30,0
150,2015-05-31,0
151,2015-06-01,0
152,2015-06-02,0
153,2015-06-03,0
154,2015-06-04,0
155,2015-06-05,0
156,2015-06-06,0
157,2015-06-07,0
158,2015-06-08,0
159,2015-06-09,0
160,2015-06-10,0
161,2015-06-11,0
162,2015-06-12,0
163,2015-06-13,0
164,2015-06-14,0
165,2015-06-15,0
166,2015-06-16,0
167,2015-06-17,0
168,2015-06-18,0
169,2015-06-19,0
170,2015-06-20,0
171,2015-06-21,0
172,2015-06-22,0
173,2015-06-23,0
174,2015-06-24,0
175,2015-06-25,0
176,2015-06-26,0
177,2015-06-27,0
178,2015-06-28,0
179,2015-06-29,0
180,2015-06-30,0
181,2015-07-01,0
182,2015-07-02,0
183,2015-07-03,0
184,2015-07-04,0
185,2015-07-05,0
186,2015-07-06,0
187,2015-07-07,0
188,2015-07-08,0
189,2015-07-09,0
190,2015-07-10,0
191,2015-07-11,0
192,2015-07-12,0
193,2015-07-13,14
194,2015-07-14,67
195,2015-07-15,75
196,2015-07-16,100
197,2015-07-17,112
198,2015-07-18,62
199,2015-07-19,107
200,2015-07-20,101
201,2015-07-21,149
202,2015-07-22,131
203,2015-07-23,120
204,2015-07-24,104
205,2015-07-25,86
206,2015-07-26,114
207,2015-07-27,119
208,2015-07-28,125
209,2015-07-29,156
210,2015-07-30,103
211,2015-07-31,109
212,2015-08-01,101
213,2015-08-02,105
214,2015-08-03,127
215,2015-08-04,150
216,2015-08-05,134
217,2015-08-06,150
218,2015-08-07,161
219,2015-08-08,95
220,2015-08-09,97
221,2015-08-10,153
222,2015-08-11,104
223,2015-08-12,188
224,2015-08-13,175
225,2015-08-14,168
226,2015-08-15,90
227,2015-08-16,92
228,2015-08-17,169
229,2015-08-18,154
230,2015-08-19,140
231,2015-08-20,148
232,2015-08-21,119
233,2015-08-22,79
234,2015-08-23,95
235,2015-08-24,159
236,2015-08-25,157
237,2015-08-26,167
238,2015-08-27,169
239,2015-08-28,196
240,2015-08-29,106
241,2015-08-30,111
242,2015-08-31,147
243,2015-09-01,162
244,2015-09-02,167
245,2015-09-03,141
246,2015-09-04,148
247,2015-09-05,92
248,2015-09-06,72
249,2015-09-07,89
250,2015-09-08,145
251,2015-09-09,156
252,2015-09-10,74
253,2015-09-11,156
254,2015-09-12,85
255,2015-09-13,86
256,2015-09-14,169
257,2015-09-15,153
258,2015-09-16,138
259,2015-09-17,176
260,2015-09-18,160
261,2015-09-19,88
262,2015-09-20,101
263,2015-09-21,126
264,2015-09-22,172
265,2015-09-23,167
266,2015-09-24,207
267,2015-09-25,171
268,2015-09-26,152
269,2015-09-27,118
270,2015-09-28,188
271,2015-09-29,168
272,2015-09-30,139
273,2015-10-01,107
274,2015-10-02,38
275,2015-10-03,53
276,2015-10-04,101
277,2015-10-05,232
278,2015-10-06,236
279,2015-10-07,238
280,2015-10-08,189
281,2015-10-09,156
282,2015-10-10,149
283,2015-10-11,135
284,2015-10-12,170
285,2015-10-13,209
286,2015-10-14,202
287,2015-10-15,197
