,date,2012
0,2015-01-01,22
1,2015-01-02,50
2,2015-01-03,14
3,2015-01-04,16
4,2015-01-05,70
5,2015-01-06,41
6,2015-01-07,49
7,2015-01-08,44
8,2015-01-09,35
9,2015-01-10,18
10,2015-01-11,14
11,2015-01-12,35
12,2015-01-13,67
13,2015-01-14,42
14,2015-01-15,63
15,2015-01-16,56
16,2015-01-17,19
17,2015-01-18,6
18,2015-01-19,33
19,2015-01-20,78
20,2015-01-21,62
21,2015-01-22,61
22,2015-01-23,72
23,2015-01-24,12
24,2015-01-25,23
25,2015-01-26,24
26,2015-01-27,8
27,2015-01-28,25
28,2015-01-29,43
29,2015-01-30,56
30,2015-01-31,14
31,2015-02-01,24
32,2015-02-02,10
33,2015-02-03,34
34,2015-02-04,54
35,2015-02-05,58
36,2015-02-06,52
37,2015-02-07,24
38,2015-02-08,28
39,2015-02-09,27
40,2015-02-10,50
41,2015-02-11,60
42,2015-02-12,54
43,2015-02-13,55
44,2015-02-14,17
45,2015-02-15,8
46,2015-02-16,15
47,2015-02-17,25
48,2015-02-18,57
49,2015-02-19,47
50,2015-02-20,45
51,2015-02-21,11
52,2015-02-22,14
53,2015-02-23,60
54,2015-02-24,44
55,2015-02-25,60
56,2015-02-26,48
57,2015-02-27,48
58,2015-02-28,14
59,2015-03-01,8
60,2015-03-02,37
61,2015-03-03,45
62,2015-03-04,35
63,2015-03-05,7
64,2015-03-06,22
65,2015-03-07,19
66,2015-03-08,19
67,2015-03-09,48
68,2015-03-10,55
69,2015-03-11,68
70,2015-03-12,73
71,2015-03-13,58
72,2015-03-14,9
73,2015-03-15,22
74,2015-03-16,69
75,2015-03-17,53
76,2015-03-18,56
77,2015-03-19,57
78,2015-03-20,36
79,2015-03-21,18
80,2015-03-22,22
81,2015-03-23,52
82,2015-03-24,64
83,2015-03-25,56
84,2015-03-26,54
85,2015-03-27,40
86,2015-03-28,4
87,2015-03-29,20
88,2015-03-30,52
89,2015-03-31,59
90,2015-04-01,60
91,2015-04-02,75
92,2015-04-03,54
93,2015-04-04,35
94,2015-04-05,27
95,2015-04-06,87
96,2015-04-07,68
97,2015-04-08,64
98,2015-04-09,59
99,2015-04-10,51
100,2015-04-11,49
101,2015-04-12,35
102,2015-04-13,84
103,2015-04-14,61
104,2015-04-15,90
105,2015-04-16,78
106,2015-04-17,64
107,2015-04-18,35
108,2015-04-19,36
109,2015-04-20,48
