,date,354
0,2015-01-01,8
1,2015-01-02,2
2,2015-01-03,5
3,2015-01-04,3
4,2015-01-05,8
5,2015-01-06,8
6,2015-01-07,9
7,2015-01-08,5
8,2015-01-09,3
9,2015-01-10,2
10,2015-01-11,9
11,2015-01-12,4
12,2015-01-13,12
13,2015-01-14,6
14,2015-01-15,7
15,2015-01-16,8
16,2015-01-17,4
17,2015-01-18,0
18,2015-01-19,5
19,2015-01-20,3
20,2015-01-21,9
21,2015-01-22,11
22,2015-01-23,7
23,2015-01-24,6
24,2015-01-25,10
25,2015-01-26,3
26,2015-01-27,0
27,2015-01-28,3
28,2015-01-29,6
29,2015-01-30,2
30,2015-01-31,4
31,2015-02-01,2
32,2015-02-02,1
33,2015-02-03,2
34,2015-02-04,6
35,2015-02-05,5
36,2015-02-06,5
37,2015-02-07,9
38,2015-02-08,6
39,2015-02-09,3
40,2015-02-10,6
41,2015-02-11,4
42,2015-02-12,11
43,2015-02-13,3
44,2015-02-14,13
45,2015-02-15,4
46,2015-02-16,4
47,2015-02-17,1
48,2015-02-18,8
49,2015-02-19,5
50,2015-02-20,0
51,2015-02-21,5
52,2015-02-22,4
53,2015-02-23,3
54,2015-02-24,4
55,2015-02-25,9
56,2015-02-26,8
57,2015-02-27,6
58,2015-02-28,2
59,2015-03-01,2
60,2015-03-02,4
61,2015-03-03,8
62,2015-03-04,7
63,2015-03-05,1
64,2015-03-06,3
65,2015-03-07,7
66,2015-03-08,3
67,2015-03-09,5
68,2015-03-10,6
69,2015-03-11,15
70,2015-03-12,10
71,2015-03-13,13
72,2015-03-14,1
73,2015-03-15,2
74,2015-03-16,9
75,2015-03-17,10
76,2015-03-18,11
77,2015-03-19,6
78,2015-03-20,5
79,2015-03-21,5
80,2015-03-22,9
81,2015-03-23,6
82,2015-03-24,7
83,2015-03-25,10
84,2015-03-26,10
85,2015-03-27,8
86,2015-03-28,2
87,2015-03-29,8
88,2015-03-30,7
89,2015-03-31,3
90,2015-04-01,11
91,2015-04-02,17
92,2015-04-03,12
93,2015-04-04,9
94,2015-04-05,14
95,2015-04-06,23
96,2015-04-07,12
97,2015-04-08,14
98,2015-04-09,7
99,2015-04-10,10
100,2015-04-11,17
101,2015-04-12,15
102,2015-04-13,11
103,2015-04-14,9
104,2015-04-15,12
105,2015-04-16,13
106,2015-04-17,14
107,2015-04-18,18
108,2015-04-19,18
109,2015-04-20,5
110,2015-04-21,11
111,2015-04-22,10
112,2015-04-23,16
113,2015-04-24,5
114,2015-04-25,16
115,2015-04-26,10
116,2015-04-27,9
117,2015-04-28,21
118,2015-04-29,25
119,2015-04-30,26
120,2015-05-01,15
121,2015-05-02,30
122,2015-05-03,29
123,2015-05-04,20
124,2015-05-05,30
125,2015-05-06,19
126,2015-05-07,22
127,2015-05-08,23
128,2015-05-09,17
129,2015-05-10,16
130,2015-05-11,24
131,2015-05-12,21
132,2015-05-13,15
133,2015-05-14,28
134,2015-05-15,14
135,2015-05-16,16
136,2015-05-17,21
137,2015-05-18,28
138,2015-05-19,17
139,2015-05-20,23
140,2015-05-21,25
141,2015-05-22,20
142,2015-05-23,26
143,2015-05-24,18
144,2015-05-25,18
145,2015-05-26,20
146,2015-05-27,18
147,2015-05-28,22
148,2015-05-29,21
149,2015-05-30,11
150,2015-05-31,12
151,2015-06-01,11
152,2015-06-02,11
153,2015-06-03,23
154,2015-06-04,24
155,2015-06-05,23
156,2015-06-06,26
157,2015-06-07,20
158,2015-06-08,21
159,2015-06-09,22
160,2015-06-10,32
161,2015-06-11,19
162,2015-06-12,19
163,2015-06-13,19
164,2015-06-14,23
165,2015-06-15,22
166,2015-06-16,26
167,2015-06-17,16
168,2015-06-18,17
169,2015-06-19,29
170,2015-06-20,25
171,2015-06-21,25
172,2015-06-22,16
173,2015-06-23,23
174,2015-06-24,22
175,2015-06-25,20
