,date,410
0,2015-01-01,32
1,2015-01-02,45
2,2015-01-03,31
3,2015-01-04,34
4,2015-01-05,33
5,2015-01-06,35
6,2015-01-07,25
7,2015-01-08,28
8,2015-01-09,21
9,2015-01-10,44
10,2015-01-11,49
11,2015-01-12,31
12,2015-01-13,43
13,2015-01-14,53
14,2015-01-15,57
15,2015-01-16,31
16,2015-01-17,35
17,2015-01-18,10
18,2015-01-19,55
19,2015-01-20,53
20,2015-01-21,17
21,2015-01-22,56
22,2015-01-23,43
23,2015-01-24,22
24,2015-01-25,65
25,2015-01-26,10
26,2015-01-27,4
27,2015-01-28,16
28,2015-01-29,27
29,2015-01-30,24
30,2015-01-31,27
31,2015-02-01,34
32,2015-02-02,7
33,2015-02-03,21
34,2015-02-04,37
35,2015-02-05,37
36,2015-02-06,31
37,2015-02-07,48
38,2015-02-08,49
39,2015-02-09,23
40,2015-02-10,31
41,2015-02-11,53
42,2015-02-12,56
43,2015-02-13,36
44,2015-02-14,23
45,2015-02-15,18
46,2015-02-16,17
47,2015-02-17,16
48,2015-02-18,34
49,2015-02-19,32
50,2015-02-20,17
51,2015-02-21,19
52,2015-02-22,16
53,2015-02-23,23
54,2015-02-24,19
55,2015-02-25,43
56,2015-02-26,36
57,2015-02-27,58
58,2015-02-28,34
59,2015-03-01,13
60,2015-03-02,22
61,2015-03-03,27
62,2015-03-04,29
63,2015-03-05,8
64,2015-03-06,22
65,2015-03-07,28
66,2015-03-08,35
67,2015-03-09,40
68,2015-03-10,35
69,2015-03-11,58
70,2015-03-12,61
71,2015-03-13,55
72,2015-03-14,18
73,2015-03-15,47
74,2015-03-16,59
75,2015-03-17,56
76,2015-03-18,45
77,2015-03-19,38
78,2015-03-20,49
79,2015-03-21,52
80,2015-03-22,60
81,2015-03-23,39
82,2015-03-24,57
83,2015-03-25,59
84,2015-03-26,51
85,2015-03-27,49
86,2015-03-28,6
87,2015-03-29,62
88,2015-03-30,66
89,2015-03-31,41
90,2015-04-01,73
91,2015-04-02,88
92,2015-04-03,61
93,2015-04-04,95
94,2015-04-05,51
95,2015-04-06,58
96,2015-04-07,61
97,2015-04-08,65
98,2015-04-09,58
99,2015-04-10,62
100,2015-04-11,106
101,2015-04-12,96
102,2015-04-13,56
103,2015-04-14,73
104,2015-04-15,71
105,2015-04-16,98
106,2015-04-17,94
107,2015-04-18,150
108,2015-04-19,120
109,2015-04-20,53
110,2015-04-21,100
111,2015-04-22,82
112,2015-04-23,75
113,2015-04-24,86
114,2015-04-25,87
115,2015-04-26,108
116,2015-04-27,69
117,2015-04-28,93
118,2015-04-29,108
119,2015-04-30,112
120,2015-05-01,100
121,2015-05-02,154
122,2015-05-03,147
123,2015-05-04,116
124,2015-05-05,107
125,2015-05-06,121
126,2015-05-07,146
127,2015-05-08,118
128,2015-05-09,153
129,2015-05-10,161
130,2015-05-11,98
131,2015-05-12,137
132,2015-05-13,124
133,2015-05-14,151
134,2015-05-15,106
135,2015-05-16,136
136,2015-05-17,140
137,2015-05-18,76
138,2015-05-19,97
139,2015-05-20,118
140,2015-05-21,103
141,2015-05-22,127
142,2015-05-23,106
143,2015-05-24,106
144,2015-05-25,122
145,2015-05-26,125
146,2015-05-27,145
147,2015-05-28,140
148,2015-05-29,136
149,2015-05-30,157
150,2015-05-31,86
151,2015-06-01,59
152,2015-06-02,58
153,2015-06-03,106
154,2015-06-04,127
155,2015-06-05,154
156,2015-06-06,148
157,2015-06-07,147
158,2015-06-08,87
159,2015-06-09,139
160,2015-06-10,125
161,2015-06-11,118
162,2015-06-12,138
163,2015-06-13,121
164,2015-06-14,120
165,2015-06-15,79
166,2015-06-16,117
167,2015-06-17,144
168,2015-06-18,118
169,2015-06-19,148
170,2015-06-20,129
171,2015-06-21,113
172,2015-06-22,132
173,2015-06-23,103
174,2015-06-24,134
175,2015-06-25,116
176,2015-06-26,133
177,2015-06-27,90
178,2015-06-28,100
179,2015-06-29,119
180,2015-06-30,115
181,2015-07-01,131
182,2015-07-02,122
183,2015-07-03,101
184,2015-07-04,96
185,2015-07-05,80
186,2015-07-06,120
187,2015-07-07,129
188,2015-07-08,120
189,2015-07-09,132
190,2015-07-10,142
191,2015-07-11,140
192,2015-07-12,151
193,2015-07-13,107
194,2015-07-14,120
195,2015-07-15,105
196,2015-07-16,148
197,2015-07-17,136
198,2015-07-18,122
199,2015-07-19,136
200,2015-07-20,103
201,2015-07-21,121
202,2015-07-22,136
203,2015-07-23,140
204,2015-07-24,138
205,2015-07-25,152
206,2015-07-26,137
207,2015-07-27,118
208,2015-07-28,121
209,2015-07-29,130
210,2015-07-30,120
211,2015-07-31,138
212,2015-08-01,136
213,2015-08-02,143
214,2015-08-03,114
215,2015-08-04,107
216,2015-08-05,137
217,2015-08-06,134
218,2015-08-07,152
219,2015-08-08,146
220,2015-08-09,145
221,2015-08-10,119
222,2015-08-11,63
223,2015-08-12,134
224,2015-08-13,135
225,2015-08-14,153
226,2015-08-15,172
227,2015-08-16,129
228,2015-08-17,113
229,2015-08-18,141
230,2015-08-19,120
231,2015-08-20,129
232,2015-08-21,138
233,2015-08-22,143
234,2015-08-23,152
235,2015-08-24,115
236,2015-08-25,126
237,2015-08-26,150
238,2015-08-27,145
239,2015-08-28,166
240,2015-08-29,131
241,2015-08-30,143
242,2015-08-31,151
243,2015-09-01,136
244,2015-09-02,131
245,2015-09-03,129
246,2015-09-04,152
247,2015-09-05,139
248,2015-09-06,132
249,2015-09-07,127
250,2015-09-08,121
251,2015-09-09,129
252,2015-09-10,92
253,2015-09-11,118
254,2015-09-12,152
255,2015-09-13,154
256,2015-09-14,137
257,2015-09-15,152
258,2015-09-16,159
259,2015-09-17,150
260,2015-09-18,150
261,2015-09-19,183
262,2015-09-20,176
263,2015-09-21,112
264,2015-09-22,132
265,2015-09-23,149
266,2015-09-24,131
267,2015-09-25,164
268,2015-09-26,154
269,2015-09-27,140
270,2015-09-28,132
271,2015-09-29,138
272,2015-09-30,143
273,2015-10-01,110
274,2015-10-02,43
275,2015-10-03,77
276,2015-10-04,129
277,2015-10-05,139
278,2015-10-06,156
279,2015-10-07,150
280,2015-10-08,158
281,2015-10-09,118
282,2015-10-10,165
283,2015-10-11,129
284,2015-10-12,117
285,2015-10-13,129
286,2015-10-14,166
287,2015-10-15,151
288,2015-10-16,137
289,2015-10-17,143
290,2015-10-18,110
291,2015-10-19,108
292,2015-10-20,138
293,2015-10-21,161
294,2015-10-22,164
295,2015-10-23,148
296,2015-10-24,138
297,2015-10-25,148
298,2015-10-26,132
299,2015-10-27,154
300,2015-10-28,75
301,2015-10-29,154
302,2015-10-30,153
303,2015-10-31,135
304,2015-11-01,134
305,2015-11-02,144
306,2015-11-03,136
307,2015-11-04,107
308,2015-11-05,137
309,2015-11-06,160
310,2015-11-07,166
311,2015-11-08,143
312,2015-11-09,128
313,2015-11-10,62
314,2015-11-11,120
315,2015-11-12,122
316,2015-11-13,132
317,2015-11-14,103
318,2015-11-15,108
319,2015-11-16,105
320,2015-11-17,126
321,2015-11-18,129
322,2015-11-19,87
323,2015-11-20,114
324,2015-11-21,138
325,2015-11-22,113
326,2015-11-23,91
327,2015-11-24,115
328,2015-11-25,85
329,2015-11-26,63
330,2015-11-27,83
331,2015-11-28,58
332,2015-11-29,96
333,2015-11-30,85
334,2015-12-01,67
335,2015-12-02,79
336,2015-12-03,113
337,2015-12-04,111
338,2015-12-05,142
339,2015-12-06,109
340,2015-12-07,99
341,2015-12-08,118
342,2015-12-09,122
343,2015-12-10,118
344,2015-12-11,134
345,2015-12-12,137
346,2015-12-13,139
347,2015-12-14,115
348,2015-12-15,128
349,2015-12-16,121
350,2015-12-17,85
351,2015-12-18,100
352,2015-12-19,108
353,2015-12-20,75
354,2015-12-21,81
355,2015-12-22,85
356,2015-12-23,52
357,2015-12-24,66
358,2015-12-25,40
359,2015-12-26,59
360,2015-12-27,54
361,2015-12-28,46
362,2015-12-29,46
363,2015-12-30,56
364,2015-12-31,80
