,date,268
0,2015-01-01,15
1,2015-01-02,36
2,2015-01-03,15
3,2015-01-04,26
4,2015-01-05,41
5,2015-01-06,22
6,2015-01-07,31
7,2015-01-08,31
8,2015-01-09,28
9,2015-01-10,21
10,2015-01-11,39
11,2015-01-12,26
12,2015-01-13,29
13,2015-01-14,43
14,2015-01-15,38
15,2015-01-16,44
16,2015-01-17,19
17,2015-01-18,4
18,2015-01-19,32
19,2015-01-20,54
20,2015-01-21,48
21,2015-01-22,53
22,2015-01-23,38
23,2015-01-24,14
24,2015-01-25,24
25,2015-01-26,14
26,2015-01-27,9
27,2015-01-28,19
28,2015-01-29,6
29,2015-01-30,9
30,2015-01-31,0
31,2015-02-01,14
32,2015-02-02,2
33,2015-02-03,11
34,2015-02-04,11
35,2015-02-05,27
36,2015-02-06,28
37,2015-02-07,31
38,2015-02-08,21
39,2015-02-09,15
40,2015-02-10,38
41,2015-02-11,35
42,2015-02-12,16
43,2015-02-13,9
44,2015-02-14,16
45,2015-02-15,14
46,2015-02-16,8
47,2015-02-17,13
48,2015-02-18,21
49,2015-02-19,16
50,2015-02-20,28
51,2015-02-21,3
52,2015-02-22,10
53,2015-02-23,26
54,2015-02-24,23
55,2015-02-25,30
56,2015-02-26,20
57,2015-02-27,28
58,2015-02-28,15
59,2015-03-01,10
60,2015-03-02,16
61,2015-03-03,9
62,2015-03-04,28
63,2015-03-05,1
64,2015-03-06,19
65,2015-03-07,22
66,2015-03-08,25
67,2015-03-09,37
68,2015-03-10,27
69,2015-03-11,59
70,2015-03-12,55
71,2015-03-13,45
72,2015-03-14,19
73,2015-03-15,34
74,2015-03-16,57
75,2015-03-17,38
76,2015-03-18,41
77,2015-03-19,42
78,2015-03-20,15
79,2015-03-21,34
80,2015-03-22,24
81,2015-03-23,39
82,2015-03-24,46
83,2015-03-25,46
84,2015-03-26,39
85,2015-03-27,43
86,2015-03-28,3
87,2015-03-29,36
88,2015-03-30,60
89,2015-03-31,40
90,2015-04-01,70
91,2015-04-02,70
92,2015-04-03,40
93,2015-04-04,56
94,2015-04-05,52
95,2015-04-06,70
96,2015-04-07,43
97,2015-04-08,50
98,2015-04-09,57
99,2015-04-10,59
100,2015-04-11,65
101,2015-04-12,70
102,2015-04-13,74
103,2015-04-14,16
104,2015-04-15,80
105,2015-04-16,100
106,2015-04-17,76
107,2015-04-18,70
108,2015-04-19,48
109,2015-04-20,35
110,2015-04-21,74
111,2015-04-22,87
112,2015-04-23,78
113,2015-04-24,63
114,2015-04-25,57
115,2015-04-26,78
116,2015-04-27,85
117,2015-04-28,94
118,2015-04-29,126
119,2015-04-30,89
120,2015-05-01,104
121,2015-05-02,86
122,2015-05-03,81
123,2015-05-04,113
124,2015-05-05,98
125,2015-05-06,101
126,2015-05-07,113
127,2015-05-08,87
128,2015-05-09,62
129,2015-05-10,65
130,2015-05-11,94
131,2015-05-12,105
132,2015-05-13,93
133,2015-05-14,99
134,2015-05-15,117
135,2015-05-16,66
136,2015-05-17,120
137,2015-05-18,100
138,2015-05-19,104
139,2015-05-20,100
140,2015-05-21,90
141,2015-05-22,92
142,2015-05-23,85
143,2015-05-24,89
144,2015-05-25,86
145,2015-05-26,119
146,2015-05-27,121
147,2015-05-28,110
148,2015-05-29,113
149,2015-05-30,109
150,2015-05-31,87
151,2015-06-01,55
152,2015-06-02,45
153,2015-06-03,125
154,2015-06-04,118
155,2015-06-05,102
156,2015-06-06,87
157,2015-06-07,99
158,2015-06-08,113
159,2015-06-09,104
160,2015-06-10,92
161,2015-06-11,123
162,2015-06-12,119
163,2015-06-13,108
164,2015-06-14,95
165,2015-06-15,79
166,2015-06-16,88
167,2015-06-17,105
168,2015-06-18,117
169,2015-06-19,102
170,2015-06-20,39
171,2015-06-21,81
172,2015-06-22,102
173,2015-06-23,107
174,2015-06-24,127
175,2015-06-25,116
176,2015-06-26,122
177,2015-06-27,35
178,2015-06-28,62
179,2015-06-29,101
180,2015-06-30,121
181,2015-07-01,120
182,2015-07-02,103
183,2015-07-03,92
184,2015-07-04,90
185,2015-07-05,111
186,2015-07-06,123
187,2015-07-07,111
188,2015-07-08,101
189,2015-07-09,101
190,2015-07-10,126
191,2015-07-11,114
192,2015-07-12,104
193,2015-07-13,114
194,2015-07-14,116
195,2015-07-15,113
196,2015-07-16,140
197,2015-07-17,127
198,2015-07-18,103
199,2015-07-19,89
200,2015-07-20,105
201,2015-07-21,110
202,2015-07-22,112
203,2015-07-23,113
204,2015-07-24,126
205,2015-07-25,122
206,2015-07-26,106
207,2015-07-27,125
208,2015-07-28,119
209,2015-07-29,121
210,2015-07-30,90
211,2015-07-31,120
212,2015-08-01,178
213,2015-08-02,130
214,2015-08-03,128
215,2015-08-04,110
216,2015-08-05,119
217,2015-08-06,127
218,2015-08-07,124
219,2015-08-08,260
220,2015-08-09,90
221,2015-08-10,118
222,2015-08-11,74
223,2015-08-12,117
224,2015-08-13,147
225,2015-08-14,136
226,2015-08-15,315
227,2015-08-16,93
228,2015-08-17,106
229,2015-08-18,121
230,2015-08-19,118
231,2015-08-20,120
232,2015-08-21,108
233,2015-08-22,103
234,2015-08-23,103
235,2015-08-24,113
236,2015-08-25,118
237,2015-08-26,125
238,2015-08-27,124
239,2015-08-28,125
240,2015-08-29,117
241,2015-08-30,111
242,2015-08-31,108
243,2015-09-01,115
244,2015-09-02,119
245,2015-09-03,130
246,2015-09-04,117
247,2015-09-05,99
248,2015-09-06,81
249,2015-09-07,103
250,2015-09-08,125
251,2015-09-09,135
252,2015-09-10,87
253,2015-09-11,144
254,2015-09-12,122
255,2015-09-13,103
256,2015-09-14,129
257,2015-09-15,135
258,2015-09-16,136
259,2015-09-17,162
260,2015-09-18,158
261,2015-09-19,128
262,2015-09-20,145
263,2015-09-21,137
264,2015-09-22,136
265,2015-09-23,142
266,2015-09-24,175
267,2015-09-25,138
268,2015-09-26,134
269,2015-09-27,134
270,2015-09-28,139
271,2015-09-29,140
272,2015-09-30,110
273,2015-10-01,85
274,2015-10-02,24
275,2015-10-03,38
276,2015-10-04,93
277,2015-10-05,129
278,2015-10-06,150
279,2015-10-07,134
280,2015-10-08,124
281,2015-10-09,94
282,2015-10-10,135
283,2015-10-11,113
284,2015-10-12,134
285,2015-10-13,130
286,2015-10-14,146
287,2015-10-15,128
288,2015-10-16,127
289,2015-10-17,91
290,2015-10-18,77
291,2015-10-19,94
292,2015-10-20,111
293,2015-10-21,134
294,2015-10-22,139
295,2015-10-23,132
296,2015-10-24,86
297,2015-10-25,90
298,2015-10-26,109
299,2015-10-27,108
300,2015-10-28,49
301,2015-10-29,123
302,2015-10-30,134
303,2015-10-31,119
304,2015-11-01,85
305,2015-11-02,118
306,2015-11-03,136
307,2015-11-04,124
308,2015-11-05,107
309,2015-11-06,127
310,2015-11-07,122
311,2015-11-08,88
312,2015-11-09,114
313,2015-11-10,57
314,2015-11-11,86
315,2015-11-12,119
316,2015-11-13,113
317,2015-11-14,76
318,2015-11-15,56
319,2015-11-16,113
320,2015-11-17,100
321,2015-11-18,110
322,2015-11-19,52
323,2015-11-20,116
324,2015-11-21,91
325,2015-11-22,62
326,2015-11-23,95
327,2015-11-24,89
328,2015-11-25,83
329,2015-11-26,35
330,2015-11-27,52
331,2015-11-28,47
332,2015-11-29,42
333,2015-11-30,82
334,2015-12-01,49
335,2015-12-02,61
336,2015-12-03,89
337,2015-12-04,85
338,2015-12-05,91
339,2015-12-06,77
340,2015-12-07,102
341,2015-12-08,104
342,2015-12-09,96
343,2015-12-10,108
344,2015-12-11,100
345,2015-12-12,101
346,2015-12-13,109
347,2015-12-14,85
348,2015-12-15,110
349,2015-12-16,104
350,2015-12-17,56
351,2015-12-18,104
352,2015-12-19,62
353,2015-12-20,72
354,2015-12-21,79
355,2015-12-22,82
356,2015-12-23,36
357,2015-12-24,53
358,2015-12-25,42
359,2015-12-26,50
360,2015-12-27,47
361,2015-12-28,57
362,2015-12-29,36
363,2015-12-30,54
364,2015-12-31,43
