,date,329
0,2015-01-01,15
1,2015-01-02,42
2,2015-01-03,17
3,2015-01-04,18
4,2015-01-05,54
5,2015-01-06,21
6,2015-01-07,52
7,2015-01-08,34
8,2015-01-09,27
9,2015-01-10,7
10,2015-01-11,20
11,2015-01-12,38
12,2015-01-13,59
13,2015-01-14,64
14,2015-01-15,59
15,2015-01-16,46
16,2015-01-17,17
17,2015-01-18,2
18,2015-01-19,41
19,2015-01-20,69
20,2015-01-21,71
21,2015-01-22,56
22,2015-01-23,73
23,2015-01-24,15
24,2015-01-25,21
25,2015-01-26,19
26,2015-01-27,14
27,2015-01-28,18
28,2015-01-29,37
29,2015-01-30,41
30,2015-01-31,20
31,2015-02-01,19
32,2015-02-02,10
33,2015-02-03,17
34,2015-02-04,32
35,2015-02-05,25
36,2015-02-06,31
37,2015-02-07,11
38,2015-02-08,23
39,2015-02-09,19
40,2015-02-10,33
41,2015-02-11,37
42,2015-02-12,33
43,2015-02-13,29
44,2015-02-14,4
45,2015-02-15,5
46,2015-02-16,17
47,2015-02-17,18
48,2015-02-18,34
49,2015-02-19,30
50,2015-02-20,23
51,2015-02-21,10
52,2015-02-22,10
53,2015-02-23,33
54,2015-02-24,32
55,2015-02-25,49
56,2015-02-26,35
57,2015-02-27,34
58,2015-02-28,20
59,2015-03-01,13
60,2015-03-02,22
61,2015-03-03,28
62,2015-03-04,29
63,2015-03-05,4
64,2015-03-06,22
65,2015-03-07,12
66,2015-03-08,20
67,2015-03-09,50
68,2015-03-10,26
69,2015-03-11,67
70,2015-03-12,43
71,2015-03-13,53
72,2015-03-14,7
73,2015-03-15,27
74,2015-03-16,72
75,2015-03-17,57
76,2015-03-18,61
77,2015-03-19,55
78,2015-03-20,33
79,2015-03-21,24
80,2015-03-22,23
81,2015-03-23,48
82,2015-03-24,44
83,2015-03-25,52
84,2015-03-26,47
85,2015-03-27,54
86,2015-03-28,6
87,2015-03-29,25
88,2015-03-30,42
89,2015-03-31,46
90,2015-04-01,76
91,2015-04-02,83
92,2015-04-03,50
93,2015-04-04,35
94,2015-04-05,40
95,2015-04-06,96
96,2015-04-07,49
97,2015-04-08,79
98,2015-04-09,58
99,2015-04-10,57
100,2015-04-11,48
101,2015-04-12,87
102,2015-04-13,105
103,2015-04-14,77
104,2015-04-15,122
105,2015-04-16,106
106,2015-04-17,104
107,2015-04-18,98
108,2015-04-19,85
109,2015-04-20,30
110,2015-04-21,105
111,2015-04-22,107
112,2015-04-23,102
113,2015-04-24,110
114,2015-04-25,13
115,2015-04-26,98
116,2015-04-27,103
117,2015-04-28,112
118,2015-04-29,146
119,2015-04-30,106
120,2015-05-01,127
121,2015-05-02,92
122,2015-05-03,118
123,2015-05-04,139
124,2015-05-05,147
125,2015-05-06,139
126,2015-05-07,158
127,2015-05-08,123
128,2015-05-09,78
129,2015-05-10,104
130,2015-05-11,119
131,2015-05-12,151
132,2015-05-13,125
133,2015-05-14,164
134,2015-05-15,123
135,2015-05-16,100
136,2015-05-17,150
137,2015-05-18,139
138,2015-05-19,130
139,2015-05-20,138
140,2015-05-21,130
141,2015-05-22,127
142,2015-05-23,76
143,2015-05-24,95
144,2015-05-25,150
145,2015-05-26,129
146,2015-05-27,147
147,2015-05-28,151
148,2015-05-29,153
149,2015-05-30,141
150,2015-05-31,77
151,2015-06-01,62
152,2015-06-02,47
153,2015-06-03,143
154,2015-06-04,134
155,2015-06-05,139
156,2015-06-06,87
157,2015-06-07,156
158,2015-06-08,138
159,2015-06-09,135
160,2015-06-10,153
161,2015-06-11,157
162,2015-06-12,150
163,2015-06-13,125
164,2015-06-14,142
165,2015-06-15,94
166,2015-06-16,117
167,2015-06-17,172
168,2015-06-18,139
169,2015-06-19,147
170,2015-06-20,110
171,2015-06-21,116
172,2015-06-22,151
173,2015-06-23,132
174,2015-06-24,190
175,2015-06-25,178
176,2015-06-26,169
177,2015-06-27,50
178,2015-06-28,146
179,2015-06-29,148
180,2015-06-30,160
181,2015-07-01,157
182,2015-07-02,133
183,2015-07-03,105
184,2015-07-04,63
185,2015-07-05,84
186,2015-07-06,122
187,2015-07-07,127
188,2015-07-08,148
189,2015-07-09,111
190,2015-07-10,157
191,2015-07-11,101
192,2015-07-12,119
193,2015-07-13,137
194,2015-07-14,152
195,2015-07-15,157
196,2015-07-16,146
197,2015-07-17,169
198,2015-07-18,126
199,2015-07-19,133
200,2015-07-20,143
201,2015-07-21,169
202,2015-07-22,179
203,2015-07-23,156
204,2015-07-24,172
205,2015-07-25,130
206,2015-07-26,137
207,2015-07-27,163
208,2015-07-28,175
209,2015-07-29,167
210,2015-07-30,121
211,2015-07-31,158
212,2015-08-01,124
213,2015-08-02,164
214,2015-08-03,165
215,2015-08-04,187
216,2015-08-05,181
217,2015-08-06,164
218,2015-08-07,195
219,2015-08-08,114
220,2015-08-09,129
221,2015-08-10,134
222,2015-08-11,80
223,2015-08-12,193
224,2015-08-13,148
225,2015-08-14,156
226,2015-08-15,122
227,2015-08-16,117
228,2015-08-17,177
229,2015-08-18,158
230,2015-08-19,164
231,2015-08-20,141
232,2015-08-21,148
233,2015-08-22,180
234,2015-08-23,132
235,2015-08-24,149
236,2015-08-25,171
237,2015-08-26,184
238,2015-08-27,159
239,2015-08-28,173
240,2015-08-29,136
241,2015-08-30,105
242,2015-08-31,139
243,2015-09-01,159
244,2015-09-02,183
245,2015-09-03,159
