,date,426
0,2015-01-01,31
1,2015-01-02,59
2,2015-01-03,26
3,2015-01-04,44
4,2015-01-05,79
5,2015-01-06,45
6,2015-01-07,26
7,2015-01-08,30
8,2015-01-09,24
9,2015-01-10,19
10,2015-01-11,43
11,2015-01-12,40
12,2015-01-13,44
13,2015-01-14,54
14,2015-01-15,64
15,2015-01-16,62
16,2015-01-17,33
17,2015-01-18,2
18,2015-01-19,51
19,2015-01-20,73
20,2015-01-21,65
21,2015-01-22,65
22,2015-01-23,74
23,2015-01-24,8
24,2015-01-25,51
25,2015-01-26,22
26,2015-01-27,8
27,2015-01-28,27
28,2015-01-29,32
29,2015-01-30,26
30,2015-01-31,22
31,2015-02-01,27
32,2015-02-02,5
33,2015-02-03,20
34,2015-02-04,32
35,2015-02-05,34
36,2015-02-06,32
37,2015-02-07,12
38,2015-02-08,37
39,2015-02-09,16
40,2015-02-10,41
41,2015-02-11,47
42,2015-02-12,24
43,2015-02-13,32
44,2015-02-14,12
45,2015-02-15,7
46,2015-02-16,10
47,2015-02-17,19
48,2015-02-18,37
49,2015-02-19,31
50,2015-02-20,19
51,2015-02-21,6
52,2015-02-22,32
53,2015-02-23,29
54,2015-02-24,39
55,2015-02-25,52
56,2015-02-26,38
57,2015-02-27,48
58,2015-02-28,21
59,2015-03-01,8
60,2015-03-02,41
61,2015-03-03,20
62,2015-03-04,35
63,2015-03-05,14
64,2015-03-06,7
65,2015-03-07,19
66,2015-03-08,34
67,2015-03-09,86
68,2015-03-10,64
69,2015-03-11,138
70,2015-03-12,99
71,2015-03-13,100
72,2015-03-14,4
73,2015-03-15,57
74,2015-03-16,124
75,2015-03-17,39
76,2015-03-18,67
77,2015-03-19,76
78,2015-03-20,45
79,2015-03-21,50
80,2015-03-22,83
81,2015-03-23,63
82,2015-03-24,81
83,2015-03-25,66
84,2015-03-26,91
85,2015-03-27,75
86,2015-03-28,2
87,2015-03-29,83
88,2015-03-30,98
89,2015-03-31,64
90,2015-04-01,121
91,2015-04-02,171
92,2015-04-03,66
93,2015-04-04,107
94,2015-04-05,130
95,2015-04-06,210
96,2015-04-07,82
97,2015-04-08,70
98,2015-04-09,85
99,2015-04-10,96
100,2015-04-11,208
101,2015-04-12,259
102,2015-04-13,216
103,2015-04-14,130
104,2015-04-15,185
105,2015-04-16,184
106,2015-04-17,184
107,2015-04-18,420
108,2015-04-19,206
109,2015-04-20,73
110,2015-04-21,198
111,2015-04-22,153
112,2015-04-23,131
113,2015-04-24,112
114,2015-04-25,218
115,2015-04-26,339
116,2015-04-27,168
117,2015-04-28,230
118,2015-04-29,277
119,2015-04-30,210
120,2015-05-01,218
121,2015-05-02,313
122,2015-05-03,401
123,2015-05-04,357
124,2015-05-05,264
125,2015-05-06,232
126,2015-05-07,247
127,2015-05-08,316
128,2015-05-09,267
129,2015-05-10,355
130,2015-05-11,268
131,2015-05-12,316
132,2015-05-13,276
133,2015-05-14,398
134,2015-05-15,303
135,2015-05-16,238
136,2015-05-17,423
137,2015-05-18,248
138,2015-05-19,276
139,2015-05-20,254
140,2015-05-21,197
141,2015-05-22,305
142,2015-05-23,351
143,2015-05-24,376
144,2015-05-25,470
145,2015-05-26,347
146,2015-05-27,255
147,2015-05-28,302
148,2015-05-29,358
149,2015-05-30,436
150,2015-05-31,204
151,2015-06-01,90
152,2015-06-02,46
153,2015-06-03,313
154,2015-06-04,227
155,2015-06-05,240
156,2015-06-06,355
157,2015-06-07,438
158,2015-06-08,270
159,2015-06-09,300
160,2015-06-10,369
161,2015-06-11,311
162,2015-06-12,279
163,2015-06-13,425
164,2015-06-14,376
165,2015-06-15,198
166,2015-06-16,272
167,2015-06-17,317
168,2015-06-18,221
169,2015-06-19,373
170,2015-06-20,208
171,2015-06-21,413
172,2015-06-22,388
173,2015-06-23,247
174,2015-06-24,404
175,2015-06-25,361
176,2015-06-26,330
177,2015-06-27,154
178,2015-06-28,125
179,2015-06-29,402
180,2015-06-30,335
181,2015-07-01,309
182,2015-07-02,312
183,2015-07-03,485
184,2015-07-04,320
185,2015-07-05,359
186,2015-07-06,330
187,2015-07-07,344
188,2015-07-08,252
189,2015-07-09,218
190,2015-07-10,473
191,2015-07-11,414
192,2015-07-12,468
193,2015-07-13,371
194,2015-07-14,269
195,2015-07-15,260
196,2015-07-16,375
197,2015-07-17,406
198,2015-07-18,428
199,2015-07-19,396
200,2015-07-20,287
201,2015-07-21,314
202,2015-07-22,389
203,2015-07-23,409
204,2015-07-24,346
205,2015-07-25,454
206,2015-07-26,439
207,2015-07-27,327
208,2015-07-28,396
209,2015-07-29,321
210,2015-07-30,221
211,2015-07-31,390
212,2015-08-01,361
213,2015-08-02,473
214,2015-08-03,393
215,2015-08-04,380
216,2015-08-05,371
217,2015-08-06,372
218,2015-08-07,359
219,2015-08-08,423
220,2015-08-09,451
221,2015-08-10,368
222,2015-08-11,167
223,2015-08-12,420
224,2015-08-13,376
225,2015-08-14,375
226,2015-08-15,521
227,2015-08-16,323
228,2015-08-17,307
229,2015-08-18,326
230,2015-08-19,326
231,2015-08-20,348
232,2015-08-21,325
233,2015-08-22,495
234,2015-08-23,384
235,2015-08-24,368
236,2015-08-25,340
237,2015-08-26,346
238,2015-08-27,373
239,2015-08-28,371
240,2015-08-29,382
241,2015-08-30,378
242,2015-08-31,295
243,2015-09-01,315
244,2015-09-02,326
245,2015-09-03,315
246,2015-09-04,318
247,2015-09-05,483
248,2015-09-06,561
249,2015-09-07,412
250,2015-09-08,293
251,2015-09-09,309
252,2015-09-10,112
253,2015-09-11,345
254,2015-09-12,325
255,2015-09-13,314
256,2015-09-14,364
257,2015-09-15,350
258,2015-09-16,352
259,2015-09-17,310
260,2015-09-18,395
261,2015-09-19,491
262,2015-09-20,407
263,2015-09-21,272
264,2015-09-22,340
265,2015-09-23,317
266,2015-09-24,347
267,2015-09-25,394
268,2015-09-26,427
269,2015-09-27,345
270,2015-09-28,367
271,2015-09-29,286
