,date,243
0,2015-01-01,5
1,2015-01-02,6
2,2015-01-03,8
3,2015-01-04,7
4,2015-01-05,13
5,2015-01-06,8
6,2015-01-07,6
7,2015-01-08,9
8,2015-01-09,4
9,2015-01-10,2
10,2015-01-11,4
11,2015-01-12,5
12,2015-01-13,7
13,2015-01-14,9
14,2015-01-15,11
15,2015-01-16,15
16,2015-01-17,10
17,2015-01-18,1
18,2015-01-19,5
19,2015-01-20,10
20,2015-01-21,10
21,2015-01-22,14
22,2015-01-23,16
23,2015-01-24,2
24,2015-01-25,9
25,2015-01-26,1
26,2015-01-27,2
27,2015-01-28,3
28,2015-01-29,10
29,2015-01-30,9
30,2015-01-31,2
31,2015-02-01,5
32,2015-02-02,4
33,2015-02-03,2
34,2015-02-04,6
35,2015-02-05,8
36,2015-02-06,7
37,2015-02-07,5
38,2015-02-08,1
39,2015-02-09,4
40,2015-02-10,10
41,2015-02-11,13
42,2015-02-12,11
43,2015-02-13,6
44,2015-02-14,6
45,2015-02-15,3
46,2015-02-16,4
47,2015-02-17,8
48,2015-02-18,5
49,2015-02-19,5
50,2015-02-20,8
51,2015-02-21,4
52,2015-02-22,1
53,2015-02-23,7
54,2015-02-24,4
55,2015-02-25,11
56,2015-02-26,7
57,2015-02-27,14
58,2015-02-28,4
59,2015-03-01,3
60,2015-03-02,7
61,2015-03-03,3
62,2015-03-04,8
63,2015-03-05,0
64,2015-03-06,3
65,2015-03-07,4
66,2015-03-08,2
67,2015-03-09,12
68,2015-03-10,7
69,2015-03-11,16
70,2015-03-12,17
71,2015-03-13,14
72,2015-03-14,5
73,2015-03-15,8
74,2015-03-16,15
75,2015-03-17,11
76,2015-03-18,12
77,2015-03-19,11
78,2015-03-20,7
79,2015-03-21,6
80,2015-03-22,14
81,2015-03-23,11
82,2015-03-24,18
83,2015-03-25,9
84,2015-03-26,11
85,2015-03-27,13
86,2015-03-28,0
87,2015-03-29,11
88,2015-03-30,11
89,2015-03-31,9
90,2015-04-01,18
91,2015-04-02,13
92,2015-04-03,11
93,2015-04-04,4
94,2015-04-05,14
95,2015-04-06,16
96,2015-04-07,13
97,2015-04-08,14
98,2015-04-09,16
99,2015-04-10,12
100,2015-04-11,23
101,2015-04-12,18
102,2015-04-13,21
103,2015-04-14,19
104,2015-04-15,24
105,2015-04-16,20
106,2015-04-17,19
107,2015-04-18,31
108,2015-04-19,26
109,2015-04-20,10
110,2015-04-21,21
111,2015-04-22,21
112,2015-04-23,24
113,2015-04-24,9
114,2015-04-25,15
115,2015-04-26,24
116,2015-04-27,18
117,2015-04-28,30
118,2015-04-29,32
119,2015-04-30,24
120,2015-05-01,29
121,2015-05-02,28
122,2015-05-03,27
123,2015-05-04,31
124,2015-05-05,32
125,2015-05-06,26
126,2015-05-07,34
127,2015-05-08,29
128,2015-05-09,22
129,2015-05-10,17
130,2015-05-11,26
131,2015-05-12,26
132,2015-05-13,23
133,2015-05-14,32
134,2015-05-15,26
135,2015-05-16,25
136,2015-05-17,25
137,2015-05-18,25
138,2015-05-19,19
139,2015-05-20,23
140,2015-05-21,30
141,2015-05-22,26
142,2015-05-23,19
143,2015-05-24,24
144,2015-05-25,34
145,2015-05-26,28
146,2015-05-27,32
147,2015-05-28,24
148,2015-05-29,23
149,2015-05-30,22
150,2015-05-31,13
151,2015-06-01,14
152,2015-06-02,7
153,2015-06-03,29
154,2015-06-04,28
155,2015-06-05,18
156,2015-06-06,16
157,2015-06-07,23
158,2015-06-08,23
159,2015-06-09,27
160,2015-06-10,28
161,2015-06-11,44
162,2015-06-12,19
163,2015-06-13,17
164,2015-06-14,12
165,2015-06-15,18
166,2015-06-16,27
167,2015-06-17,39
168,2015-06-18,35
169,2015-06-19,26
170,2015-06-20,10
171,2015-06-21,10
172,2015-06-22,25
173,2015-06-23,21
174,2015-06-24,35
175,2015-06-25,29
176,2015-06-26,23
177,2015-06-27,13
178,2015-06-28,18
179,2015-06-29,28
180,2015-06-30,33
181,2015-07-01,42
182,2015-07-02,24
183,2015-07-03,16
184,2015-07-04,19
185,2015-07-05,11
186,2015-07-06,35
187,2015-07-07,27
188,2015-07-08,30
189,2015-07-09,23
190,2015-07-10,29
191,2015-07-11,14
192,2015-07-12,11
193,2015-07-13,26
194,2015-07-14,25
195,2015-07-15,34
196,2015-07-16,21
197,2015-07-17,27
198,2015-07-18,19
199,2015-07-19,12
200,2015-07-20,35
