,date,391
0,2015-01-01,13
1,2015-01-02,23
2,2015-01-03,15
3,2015-01-04,26
4,2015-01-05,28
5,2015-01-06,15
6,2015-01-07,15
7,2015-01-08,13
8,2015-01-09,12
9,2015-01-10,8
10,2015-01-11,28
11,2015-01-12,21
12,2015-01-13,30
13,2015-01-14,21
14,2015-01-15,26
15,2015-01-16,37
16,2015-01-17,18
17,2015-01-18,5
18,2015-01-19,13
19,2015-01-20,23
20,2015-01-21,21
21,2015-01-22,28
22,2015-01-23,33
23,2015-01-24,11
24,2015-01-25,17
25,2015-01-26,2
26,2015-01-27,1
27,2015-01-28,5
28,2015-01-29,7
29,2015-01-30,9
30,2015-01-31,8
31,2015-02-01,10
32,2015-02-02,2
33,2015-02-03,5
34,2015-02-04,15
35,2015-02-05,11
36,2015-02-06,11
37,2015-02-07,15
38,2015-02-08,17
39,2015-02-09,10
40,2015-02-10,9
41,2015-02-11,14
42,2015-02-12,16
43,2015-02-13,15
44,2015-02-14,14
45,2015-02-15,9
46,2015-02-16,5
47,2015-02-17,9
48,2015-02-18,17
49,2015-02-19,8
50,2015-02-20,10
51,2015-02-21,12
52,2015-02-22,10
53,2015-02-23,10
54,2015-02-24,20
55,2015-02-25,14
56,2015-02-26,11
57,2015-02-27,18
58,2015-02-28,19
59,2015-03-01,3
60,2015-03-02,16
61,2015-03-03,11
62,2015-03-04,11
63,2015-03-05,4
64,2015-03-06,8
65,2015-03-07,12
66,2015-03-08,16
67,2015-03-09,25
68,2015-03-10,21
69,2015-03-11,43
70,2015-03-12,16
71,2015-03-13,23
72,2015-03-14,12
73,2015-03-15,14
74,2015-03-16,25
75,2015-03-17,22
76,2015-03-18,19
77,2015-03-19,11
78,2015-03-20,9
79,2015-03-21,17
80,2015-03-22,21
81,2015-03-23,16
82,2015-03-24,29
83,2015-03-25,16
84,2015-03-26,16
85,2015-03-27,28
86,2015-03-28,6
87,2015-03-29,25
88,2015-03-30,30
89,2015-03-31,22
90,2015-04-01,33
91,2015-04-02,35
92,2015-04-03,31
93,2015-04-04,27
94,2015-04-05,33
95,2015-04-06,35
96,2015-04-07,27
97,2015-04-08,31
98,2015-04-09,20
99,2015-04-10,30
100,2015-04-11,52
101,2015-04-12,55
102,2015-04-13,57
103,2015-04-14,43
104,2015-04-15,51
105,2015-04-16,48
106,2015-04-17,37
107,2015-04-18,74
108,2015-04-19,64
109,2015-04-20,30
110,2015-04-21,45
111,2015-04-22,47
112,2015-04-23,24
113,2015-04-24,38
114,2015-04-25,43
115,2015-04-26,54
116,2015-04-27,43
117,2015-04-28,45
118,2015-04-29,55
119,2015-04-30,54
120,2015-05-01,63
121,2015-05-02,76
122,2015-05-03,63
123,2015-05-04,68
124,2015-05-05,64
125,2015-05-06,46
126,2015-05-07,52
127,2015-05-08,56
128,2015-05-09,36
129,2015-05-10,53
130,2015-05-11,52
131,2015-05-12,67
132,2015-05-13,61
133,2015-05-14,76
134,2015-05-15,62
135,2015-05-16,46
136,2015-05-17,76
137,2015-05-18,40
138,2015-05-19,47
139,2015-05-20,49
140,2015-05-21,56
141,2015-05-22,43
142,2015-05-23,50
143,2015-05-24,37
144,2015-05-25,49
145,2015-05-26,53
146,2015-05-27,54
147,2015-05-28,55
148,2015-05-29,65
149,2015-05-30,50
150,2015-05-31,49
151,2015-06-01,23
152,2015-06-02,16
153,2015-06-03,66
154,2015-06-04,51
155,2015-06-05,36
156,2015-06-06,39
157,2015-06-07,63
158,2015-06-08,46
159,2015-06-09,43
160,2015-06-10,57
161,2015-06-11,49
162,2015-06-12,55
163,2015-06-13,28
164,2015-06-14,55
165,2015-06-15,44
166,2015-06-16,55
167,2015-06-17,59
168,2015-06-18,51
169,2015-06-19,43
170,2015-06-20,35
171,2015-06-21,49
172,2015-06-22,43
173,2015-06-23,38
174,2015-06-24,50
175,2015-06-25,53
176,2015-06-26,44
177,2015-06-27,37
178,2015-06-28,47
179,2015-06-29,36
180,2015-06-30,52
181,2015-07-01,43
182,2015-07-02,39
183,2015-07-03,44
184,2015-07-04,56
185,2015-07-05,59
186,2015-07-06,52
187,2015-07-07,53
188,2015-07-08,53
189,2015-07-09,37
190,2015-07-10,63
191,2015-07-11,50
192,2015-07-12,48
193,2015-07-13,58
194,2015-07-14,45
195,2015-07-15,44
196,2015-07-16,51
197,2015-07-17,65
198,2015-07-18,47
199,2015-07-19,66
200,2015-07-20,51
201,2015-07-21,68
202,2015-07-22,64
203,2015-07-23,59
204,2015-07-24,61
205,2015-07-25,65
206,2015-07-26,65
207,2015-07-27,83
208,2015-07-28,80
209,2015-07-29,63
210,2015-07-30,59
211,2015-07-31,72
212,2015-08-01,72
213,2015-08-02,60
214,2015-08-03,66
215,2015-08-04,61
216,2015-08-05,68
217,2015-08-06,73
218,2015-08-07,57
219,2015-08-08,74
220,2015-08-09,78
221,2015-08-10,59
222,2015-08-11,50
223,2015-08-12,76
224,2015-08-13,77
225,2015-08-14,49
226,2015-08-15,73
227,2015-08-16,74
228,2015-08-17,59
229,2015-08-18,56
230,2015-08-19,67
231,2015-08-20,55
232,2015-08-21,50
233,2015-08-22,84
234,2015-08-23,79
235,2015-08-24,68
236,2015-08-25,73
237,2015-08-26,74
238,2015-08-27,52
239,2015-08-28,46
240,2015-08-29,65
241,2015-08-30,63
242,2015-08-31,54
243,2015-09-01,57
244,2015-09-02,58
245,2015-09-03,54
246,2015-09-04,57
247,2015-09-05,59
248,2015-09-06,61
249,2015-09-07,62
250,2015-09-08,78
251,2015-09-09,75
252,2015-09-10,42
253,2015-09-11,52
254,2015-09-12,71
255,2015-09-13,55
256,2015-09-14,60
257,2015-09-15,77
258,2015-09-16,79
259,2015-09-17,59
260,2015-09-18,61
261,2015-09-19,79
262,2015-09-20,83
263,2015-09-21,87
264,2015-09-22,81
265,2015-09-23,70
266,2015-09-24,54
267,2015-09-25,55
268,2015-09-26,52
269,2015-09-27,59
270,2015-09-28,54
271,2015-09-29,61
272,2015-09-30,47
273,2015-10-01,33
274,2015-10-02,9
275,2015-10-03,34
276,2015-10-04,58
277,2015-10-05,67
278,2015-10-06,60
279,2015-10-07,77
280,2015-10-08,57
281,2015-10-09,43
282,2015-10-10,63
283,2015-10-11,85
284,2015-10-12,69
285,2015-10-13,73
286,2015-10-14,61
287,2015-10-15,67
288,2015-10-16,63
289,2015-10-17,46
290,2015-10-18,38
291,2015-10-19,56
292,2015-10-20,66
293,2015-10-21,56
294,2015-10-22,52
295,2015-10-23,50
296,2015-10-24,51
297,2015-10-25,48
298,2015-10-26,38
299,2015-10-27,48
300,2015-10-28,22
301,2015-10-29,44
302,2015-10-30,51
303,2015-10-31,46
304,2015-11-01,60
305,2015-11-02,48
306,2015-11-03,69
307,2015-11-04,68
308,2015-11-05,61
309,2015-11-06,66
310,2015-11-07,54
311,2015-11-08,46
312,2015-11-09,63
313,2015-11-10,43
314,2015-11-11,59
315,2015-11-12,43
316,2015-11-13,59
317,2015-11-14,65
318,2015-11-15,54
319,2015-11-16,74
320,2015-11-17,75
321,2015-11-18,73
322,2015-11-19,37
323,2015-11-20,73
324,2015-11-21,54
325,2015-11-22,47
326,2015-11-23,54
327,2015-11-24,66
328,2015-11-25,50
329,2015-11-26,14
330,2015-11-27,45
331,2015-11-28,32
332,2015-11-29,34
333,2015-11-30,49
334,2015-12-01,29
335,2015-12-02,38
336,2015-12-03,55
337,2015-12-04,60
338,2015-12-05,46
339,2015-12-06,39
340,2015-12-07,38
341,2015-12-08,43
342,2015-12-09,44
343,2015-12-10,59
344,2015-12-11,67
345,2015-12-12,32
346,2015-12-13,39
347,2015-12-14,57
348,2015-12-15,66
349,2015-12-16,47
350,2015-12-17,35
351,2015-12-18,49
352,2015-12-19,27
353,2015-12-20,30
354,2015-12-21,40
355,2015-12-22,28
356,2015-12-23,12
357,2015-12-24,20
358,2015-12-25,19
359,2015-12-26,23
360,2015-12-27,29
361,2015-12-28,31
362,2015-12-29,14
363,2015-12-30,30
364,2015-12-31,44
