,date,485
0,2015-01-01,7
1,2015-01-02,43
2,2015-01-03,10
3,2015-01-04,12
4,2015-01-05,54
5,2015-01-06,41
6,2015-01-07,42
7,2015-01-08,33
8,2015-01-09,36
9,2015-01-10,23
10,2015-01-11,16
11,2015-01-12,18
12,2015-01-13,33
13,2015-01-14,56
14,2015-01-15,46
15,2015-01-16,34
16,2015-01-17,5
17,2015-01-18,3
18,2015-01-19,39
19,2015-01-20,52
20,2015-01-21,34
21,2015-01-22,48
22,2015-01-23,39
23,2015-01-24,18
24,2015-01-25,20
25,2015-01-26,8
26,2015-01-27,0
27,2015-01-28,12
28,2015-01-29,21
29,2015-01-30,41
30,2015-01-31,10
31,2015-02-01,14
32,2015-02-02,8
33,2015-02-03,18
34,2015-02-04,39
35,2015-02-05,36
36,2015-02-06,30
37,2015-02-07,12
38,2015-02-08,10
39,2015-02-09,7
40,2015-02-10,51
41,2015-02-11,36
42,2015-02-12,33
43,2015-02-13,28
44,2015-02-14,8
45,2015-02-15,5
46,2015-02-16,5
47,2015-02-17,24
48,2015-02-18,22
49,2015-02-19,34
50,2015-02-20,17
51,2015-02-21,9
52,2015-02-22,10
53,2015-02-23,0
54,2015-02-24,35
55,2015-02-25,15
56,2015-02-26,42
57,2015-02-27,34
58,2015-02-28,10
59,2015-03-01,6
60,2015-03-02,23
61,2015-03-03,26
62,2015-03-04,37
63,2015-03-05,6
64,2015-03-06,7
65,2015-03-07,14
66,2015-03-08,18
67,2015-03-09,43
68,2015-03-10,42
69,2015-03-11,70
70,2015-03-12,39
71,2015-03-13,43
72,2015-03-14,9
73,2015-03-15,25
74,2015-03-16,43
75,2015-03-17,8
76,2015-03-18,41
77,2015-03-19,46
78,2015-03-20,24
79,2015-03-21,22
80,2015-03-22,30
81,2015-03-23,45
82,2015-03-24,47
83,2015-03-25,54
84,2015-03-26,47
85,2015-03-27,46
86,2015-03-28,0
87,2015-03-29,12
88,2015-03-30,45
89,2015-03-31,47
90,2015-04-01,74
91,2015-04-02,87
92,2015-04-03,44
93,2015-04-04,21
94,2015-04-05,30
95,2015-04-06,59
96,2015-04-07,50
97,2015-04-08,64
98,2015-04-09,60
99,2015-04-10,51
100,2015-04-11,48
101,2015-04-12,26
102,2015-04-13,73
103,2015-04-14,64
104,2015-04-15,88
105,2015-04-16,81
106,2015-04-17,77
107,2015-04-18,37
108,2015-04-19,36
109,2015-04-20,29
110,2015-04-21,76
111,2015-04-22,72
112,2015-04-23,84
113,2015-04-24,69
114,2015-04-25,10
115,2015-04-26,25
116,2015-04-27,65
117,2015-04-28,62
118,2015-04-29,85
119,2015-04-30,98
120,2015-05-01,82
121,2015-05-02,0
122,2015-05-03,15
123,2015-05-04,86
124,2015-05-05,89
125,2015-05-06,68
126,2015-05-07,101
127,2015-05-08,98
128,2015-05-09,35
129,2015-05-10,53
130,2015-05-11,81
131,2015-05-12,92
132,2015-05-13,113
133,2015-05-14,103
134,2015-05-15,93
135,2015-05-16,38
136,2015-05-17,39
137,2015-05-18,64
138,2015-05-19,84
139,2015-05-20,116
140,2015-05-21,99
141,2015-05-22,76
142,2015-05-23,35
143,2015-05-24,59
144,2015-05-25,78
145,2015-05-26,98
146,2015-05-27,96
147,2015-05-28,100
148,2015-05-29,117
149,2015-05-30,60
150,2015-05-31,31
151,2015-06-01,47
152,2015-06-02,38
153,2015-06-03,95
154,2015-06-04,91
155,2015-06-05,84
156,2015-06-06,54
157,2015-06-07,38
158,2015-06-08,111
159,2015-06-09,97
160,2015-06-10,108
161,2015-06-11,127
162,2015-06-12,92
163,2015-06-13,66
164,2015-06-14,33
165,2015-06-15,76
166,2015-06-16,101
167,2015-06-17,109
168,2015-06-18,111
169,2015-06-19,80
170,2015-06-20,43
171,2015-06-21,47
172,2015-06-22,103
173,2015-06-23,96
174,2015-06-24,79
175,2015-06-25,101
176,2015-06-26,76
177,2015-06-27,27
178,2015-06-28,0
179,2015-06-29,92
180,2015-06-30,101
181,2015-07-01,108
182,2015-07-02,98
183,2015-07-03,48
184,2015-07-04,55
185,2015-07-05,47
186,2015-07-06,97
187,2015-07-07,103
188,2015-07-08,97
189,2015-07-09,109
190,2015-07-10,88
191,2015-07-11,53
192,2015-07-12,42
193,2015-07-13,76
194,2015-07-14,84
195,2015-07-15,97
196,2015-07-16,133
197,2015-07-17,112
198,2015-07-18,57
199,2015-07-19,50
200,2015-07-20,97
201,2015-07-21,92
202,2015-07-22,102
203,2015-07-23,128
204,2015-07-24,124
205,2015-07-25,62
206,2015-07-26,59
207,2015-07-27,123
208,2015-07-28,111
209,2015-07-29,122
210,2015-07-30,105
211,2015-07-31,108
212,2015-08-01,79
213,2015-08-02,74
214,2015-08-03,125
215,2015-08-04,105
216,2015-08-05,112
217,2015-08-06,126
218,2015-08-07,117
219,2015-08-08,65
220,2015-08-09,6
221,2015-08-10,96
222,2015-08-11,46
223,2015-08-12,112
224,2015-08-13,124
225,2015-08-14,107
226,2015-08-15,49
227,2015-08-16,46
228,2015-08-17,75
229,2015-08-18,106
230,2015-08-19,122
231,2015-08-20,118
232,2015-08-21,101
233,2015-08-22,49
234,2015-08-23,70
235,2015-08-24,100
236,2015-08-25,114
237,2015-08-26,120
238,2015-08-27,134
239,2015-08-28,113
240,2015-08-29,60
241,2015-08-30,66
242,2015-08-31,110
243,2015-09-01,130
244,2015-09-02,108
245,2015-09-03,112
246,2015-09-04,89
247,2015-09-05,64
248,2015-09-06,59
249,2015-09-07,56
250,2015-09-08,109
251,2015-09-09,147
252,2015-09-10,98
253,2015-09-11,181
254,2015-09-12,97
255,2015-09-13,90
256,2015-09-14,170
257,2015-09-15,206
258,2015-09-16,225
259,2015-09-17,206
260,2015-09-18,185
261,2015-09-19,115
262,2015-09-20,119
263,2015-09-21,183
264,2015-09-22,206
265,2015-09-23,184
266,2015-09-24,214
267,2015-09-25,207
268,2015-09-26,123
269,2015-09-27,112
270,2015-09-28,205
271,2015-09-29,187
272,2015-09-30,190
273,2015-10-01,165
274,2015-10-02,40
275,2015-10-03,62
276,2015-10-04,8
277,2015-10-05,138
278,2015-10-06,153
279,2015-10-07,149
280,2015-10-08,209
281,2015-10-09,172
282,2015-10-10,127
283,2015-10-11,103
284,2015-10-12,174
285,2015-10-13,237
286,2015-10-14,198
287,2015-10-15,209
288,2015-10-16,190
289,2015-10-17,82
290,2015-10-18,73
291,2015-10-19,147
292,2015-10-20,194
293,2015-10-21,190
294,2015-10-22,196
295,2015-10-23,161
296,2015-10-24,86
297,2015-10-25,83
298,2015-10-26,137
299,2015-10-27,179
300,2015-10-28,68
301,2015-10-29,186
302,2015-10-30,134
303,2015-10-31,102
304,2015-11-01,74
305,2015-11-02,140
306,2015-11-03,190
307,2015-11-04,159
308,2015-11-05,138
309,2015-11-06,126
310,2015-11-07,76
311,2015-11-08,60
312,2015-11-09,130
313,2015-11-10,70
314,2015-11-11,93
315,2015-11-12,134
316,2015-11-13,143
317,2015-11-14,52
318,2015-11-15,64
319,2015-11-16,109
320,2015-11-17,150
321,2015-11-18,125
322,2015-11-19,75
323,2015-11-20,137
324,2015-11-21,54
325,2015-11-22,47
326,2015-11-23,98
327,2015-11-24,108
328,2015-11-25,99
329,2015-11-26,37
330,2015-11-27,62
331,2015-11-28,41
332,2015-11-29,42
333,2015-11-30,108
334,2015-12-01,57
335,2015-12-02,70
336,2015-12-03,115
337,2015-12-04,119
338,2015-12-05,62
339,2015-12-06,39
340,2015-12-07,105
341,2015-12-08,110
342,2015-12-09,110
343,2015-12-10,135
344,2015-12-11,121
345,2015-12-12,61
346,2015-12-13,50
347,2015-12-14,102
348,2015-12-15,130
349,2015-12-16,110
350,2015-12-17,69
351,2015-12-18,121
352,2015-12-19,38
353,2015-12-20,31
354,2015-12-21,118
355,2015-12-22,66
356,2015-12-23,52
357,2015-12-24,64
358,2015-12-25,21
359,2015-12-26,29
360,2015-12-27,34
361,2015-12-28,61
362,2015-12-29,44
363,2015-12-30,62
364,2015-12-31,52
