,date,411
0,2015-01-01,16
1,2015-01-02,18
2,2015-01-03,17
3,2015-01-04,10
4,2015-01-05,14
5,2015-01-06,14
6,2015-01-07,17
7,2015-01-08,11
8,2015-01-09,7
9,2015-01-10,15
10,2015-01-11,19
11,2015-01-12,14
12,2015-01-13,25
13,2015-01-14,17
14,2015-01-15,23
15,2015-01-16,22
16,2015-01-17,16
17,2015-01-18,2
18,2015-01-19,25
19,2015-01-20,21
20,2015-01-21,21
21,2015-01-22,20
22,2015-01-23,20
23,2015-01-24,6
24,2015-01-25,22
25,2015-01-26,1
26,2015-01-27,4
27,2015-01-28,10
28,2015-01-29,19
29,2015-01-30,22
30,2015-01-31,15
31,2015-02-01,12
32,2015-02-02,1
33,2015-02-03,12
34,2015-02-04,19
35,2015-02-05,10
36,2015-02-06,17
37,2015-02-07,15
38,2015-02-08,17
39,2015-02-09,9
40,2015-02-10,18
41,2015-02-11,13
42,2015-02-12,20
43,2015-02-13,13
44,2015-02-14,16
45,2015-02-15,7
46,2015-02-16,12
47,2015-02-17,11
48,2015-02-18,12
49,2015-02-19,15
50,2015-02-20,14
51,2015-02-21,11
52,2015-02-22,11
53,2015-02-23,19
54,2015-02-24,8
55,2015-02-25,20
56,2015-02-26,15
57,2015-02-27,18
58,2015-02-28,13
59,2015-03-01,9
60,2015-03-02,13
61,2015-03-03,15
62,2015-03-04,16
63,2015-03-05,2
64,2015-03-06,13
65,2015-03-07,13
66,2015-03-08,16
67,2015-03-09,19
68,2015-03-10,19
69,2015-03-11,26
70,2015-03-12,28
71,2015-03-13,25
72,2015-03-14,8
73,2015-03-15,23
74,2015-03-16,25
75,2015-03-17,21
76,2015-03-18,20
77,2015-03-19,25
78,2015-03-20,13
79,2015-03-21,14
80,2015-03-22,26
81,2015-03-23,23
82,2015-03-24,24
83,2015-03-25,16
84,2015-03-26,25
85,2015-03-27,20
86,2015-03-28,4
87,2015-03-29,22
88,2015-03-30,30
89,2015-03-31,25
90,2015-04-01,22
91,2015-04-02,42
